མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།
དམྱལ་བ་ནས་འདོན་པ་ཞེས་བྱ་བ།,261,2,1,,མཚན་བྱང་འདི་གཞུང་ལས་བླངས་ཏེ་བཀོད།
,,3,2,《པེ་》《སྣར་》,ར་གོངྡྷི་ར།
,,4,3,《པེ་》《སྣར་》,འཁོན།
,262,5,1,《པེ་》《སྣར་》,རིགས།
,,6,2,《པེ་》《སྣར་》,བླངས།
,,7,3,《པེ་》《སྣར་》,བ།
,,8,4,《པེ་》《སྣར་》,བས།
,,9,5,《སྣར་》,བརྟེན།
,,10,6,《པེ་》《སྣར་》,གི།
,,11,7,《པེ་》《སྣར་》,ལ།
,263,12,1,《པེ་》《སྣར་》,པའོ།
,,13,2,《པེ་》《སྣར་》,pའདིས་ཀྱང་འགྲོ་བ་དུ་མ་ལ་ཕན་པ་རྒྱ་ཆེན་པོ་འབྱུང་བར་གྱུར་ཅིག །དཔལ་ར་ས་ར་མོ་ཆེའི་གཙུག་ལག་ཁང་དུ་གྲོང་ཁྱེར་དཔེ་མེད་ཀྱི་པཎྜི་ཏ་ཏི་ལ་ཀ་དང་། བོད་ཀྱི་ལོ་ཙཱ་བ་ཆེན་པོ་ཤཱཀྱའི་དགེ་སློང་པ་ཚབ་ཉི་མ་གྲགས་ཀྱིས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པའོ།།
