མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,300,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་བཤད་པ་འཕགས་པ་ཀླུ་སྒྲུབ་ཀྱིས་མཛད་པ་བཞུགས་སོ།    །ཞེས་འཁོད།,
སྟོང་པ་ཉིད་བདུན་ཅུ་པའི་འགྲེལ་པ།,,3,2,《པེ་》,ཤུ་ནྱཱ་ཏ་སྱ་སཔྟི་ཏ་པྲིཏྟི།《སྣར་》,,
,,4,3,《པེ་》《སྣར་》,བསྙད།,
,,5,4,《པེ་》《སྣར་》,གིས།,
,,6,5,《པེ་》《སྣར་》,གསུངས་ཀྱི།,
,301,7,1,《པེ་》《སྣར་》,༽གྱིས།,
,,8,2,《པེ་》《སྣར་》,༼ལྟར།,
,,9,3,《པེ་》《སྣར་》,དེའི།,
,,10,4,《པེ་》《སྣར་》,རྒྱུའམ།,
,,11,5,《པེ་》《སྣར་》,འགོག,
,,12,6,《པེ་》《སྣར་》,༼མ།,
,,13,7,《པེ་》《སྣར་》,༼མ།,
,302,14,1,《པེ་》《སྣར་》,སྐྱེས།,
,,15,2,《སྣར་》,སྐྱོ།,
,,16,3,《པེ་》《སྣར་》,སྐྱེས།,
,,17,4,《སྣར་》,༼པ།,
,,18,5,《པེ་》《སྣར་》,༽སྐྱེ་བའི་ཚེ།,
,,19,6,《པེ་》《སྣར་》,སུའང་།,
,303,20,1,《པེ་》《སྣར་》,ལྟར།,
,,21,2,《པེ་》《སྣར་》,བརྟག,
,,22,3,《པེ་》《སྣར་》,འཕྱི་བར་བརྟག,
,,23,4,《པེ་》《སྣར་》,བརྟག,
,,24,5,《པེ་》《སྣར་》,༽ནི།,
,,25,6,《པེ་》《སྣར་》,ཆར།,
,,26,7,《སྣར་》,པའི།,
,,27,8,《པེ་》《སྣར་》,བྱུང་།,
,,28,9,《པེ་》《སྣར་》,༼ནི།,
,,29,10,《པེ་》《སྣར་》,༼ནི།,
,304,30,1,《པེ་》《སྣར་》,བཏགས།,
,,31,2,《པེ་》《སྣར་》,དེའི།,
,,32,3,《པེ་》,ཡིན་པར།,《སྣར་》,ཡིན་པས།
,,33,4,《པེ་》,སྦྱར་རོ།།དེ། ,《སྣར་》,སྦྱར་རོ།     །དེ།
,,34,5,《པེ་》《སྣར་》,གཞི།,
,,35,6,《པེ་》《སྣར་》,མི།,
,,36,7,《པེ་》《སྣར་》,བསྐྱེད་བྱེད།,
,305,37,1,《པེ་》《སྣར་》,༽ནི།,
,,38,2,《པེ་》《སྣར་》,པར་ཡང་མེད།,
,,39,3,《པེ་》《སྣར་》,བྱུང་།,
,,40,4,《པེ་》《སྣར་》,འབྱུང་།,
,,41,5,《པེ་》,གྲུབ་པའང་།,
,,42,6,《པེ་》《སྣར་》,མི།,
,306,43,1,《པེ་》《སྣར་》,༼ཡང་།,
,,44,2,《པེ་》《སྣར་》,༽དངོས་པོ་དང་།,
,,45,3,《པེ་》《སྣར་》,དང་བརྟེན།,
,,46,4,《པེ་》《སྣར་》,འཇོག,
,,47,5,《པེ་》《སྣར་》,༼དེ་ཕྱིར་གཞན་དངོས་དངོས་མེད་དང་།,
,,48,6,《པེ་》《སྣར་》,༼རང་གི་དངོས་པོ་དང་།,
,,49,7,《པེ་》《སྣར་》,༼དང་།,
,,50,8,《པེ་》《སྣར་》,ཀྱི།,
,,51,9,《པེ་》《སྣར་》,༼གྱིས།,
,,52,10,《པེ་》《སྣར་》,༼ནི།,
,,53,11,《པེ་》《སྣར་》,༼ནི།,
,307,54,1,《པེ་》《སྣར་》,དང་།,
,,55,2,《པེ་》《སྣར་》,༼གང་གི་ཕྱིར།,
,,56,3,《པེ་》《སྣར་》,དེ།,
,,57,4,《པེ་》《སྣར་》,༼ཉིད།,
,,58,5,《པེ་》《སྣར་》,༽ཚེ།,
,,59,6,《པེ་》《སྣར་》,པ།,
,,60,7,《པེ་》《སྣར་》,༽དངོས་པོ་དང་།,
,,61,8,《པེ་》《སྣར་》,དེ།   དངོས་པོ་དེའི་དངོས་པོ།,
,308,62,1,《པེ་》《སྣར་》,དེའི།,
,,63,2,《པེ་》《སྣར་》,ཡིན་ན་ནི།,
,,64,3,《པེ་》《སྣར་》,ལ།,
,,65,4,《པེ་》《སྣར་》,བ།,
,,66,5,《པེ་》《སྣར་》,གཉིས།,
,,67,6,《པེ་》《སྣར་》,མི།,
,309,68,1,《པེ་》《སྣར་》,དང་།,
,,69,2,《པེ་》《སྣར་》,ཆད།,
,,70,3,《པེ་》《སྣར་》,ན་རྟག,
,,71,4,《སྣར་》,༽ནི།,
,,72,5,《པེ་》《སྣར་》,༼དུ།,
,,73,6,《པེ་》《སྣར་》,༽དངོས་པོ་མེད་པར་ཡང་དངོས་པོ་མེད་པ་མེད་པར་ཡང་།  དངོས་པོ་ལ་མ་བརྟེན་པར་ཡང་།   དངོས་པོ་མེད་པ་ལ་མ་བརྟེན་པར་ཡང་ཞེས་བཤད་པ་ཡིན་ནོ།    །འདིར་སྨྲས་པ།   མཚན་གཞི་དང་མཚན་ཉིད་འབྲེལ་པའི་ཕྱིར་དངོས་པོ་རྣམས་ནི་ཡོད་དོ།     །འདིར་བཤད་པ།,
,310,74,1,《པེ་》《སྣར་》,གིས།,
,,75,2,《པེ་》《སྣར་》,༼དུ།,
,,76,3,《པེ་》,༼མ།,
,,77,4,《པེ་》《སྣར་》,ལྟ།,
,,78,5,《པེ་》《སྣར་》,ཅི་ཡང་།,
,,79,6,《པེ་》《སྣར་》,རྣམ།,
,,80,7,《པེ་》《སྣར་》,སྟེ།,
,,81,8,《པེ་》《སྣར་》,༼ཡིན་པ།,
,,82,9,《པེ་》《སྣར་》,བཟུང་།,
,,83,10,《པེ་》《སྣར་》,བརྟགས།,
,,84,11,《པེ་》《སྣར་》,བརྟགས།,
,311,85,1,《པེ་》《སྣར་》,པོ།,
,,86,2,《པེ་》《སྣར་》,༼པ།,
,,87,3,《པེ་》《སྣར་》,ན།,
,,88,4,《པེ་》《སྣར་》,༼གྲུབ་པ།,
,,89,5,《པེ་》《སྣར་》,༼པ།,
,,90,6,《པེ་》《སྣར་》,ཡང་།,
,,91,7,《པེ་》《སྣར་》,པའམ།,
