མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
,381,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,3,2,《པེ་》《སྣར་》,ཏ་ཀ་ཏི་ནཱ་མ་བྲིཏྟི།,
,,4,3,《པེ་》《སྣར་》,༼ཀྱང་།,
,382,5,1,《པེ་》《སྣར་》,ཅི་གཅིག་པ།,
,,6,2,《པེ་》《སྣར་》,༽ཉིད།,
,,7,3,《པེ་》《སྣར་》,༼དུ།,
,,8,4,《སྣར་》,འདིས།,
,,9,5,《པེ་》《སྣར་》,ལྟར།,
,,10,6,《པེ་》《སྣར་》,ལྟར།,
,,11,7,《པེ་》《སྣར་》,༼པ།,
,,12,8,《པེ་》《སྣར་》,༽ལ།,
,383,13,1,《པེ་》《སྣར་》,སྒྲུབ།,
,,14,2,《པེ་》,༼པོ།,
,,15,3,《པེ་》《སྣར་》,པ།,
,,16,4,《པེ་》《སྣར་》,༽ཉིད་ཀྱི་མཚན།,
,,17,5,《ཁུ་》,སྒྲུབ།,
,,18,6,《པེ་》《སྣར་》,༽བ།,
,,19,7,《པེ་》《སྣར་》,༼འདིར།,
,,20,8,《པེ་》《སྣར་》,སྒྲུབ།,
,384,21,1,《པེ་》《སྣར་》,ནས།,
,,22,2,《པེ་》《སྣར་》,༽ཆུ་ཡོད་པ།,
,,23,3,《པེ་》《སྣར་》,༼ནི།,
,,24,4,《པེ་》《སྣར་》,གྱུར་པའམ།,
,,25,5,《པེ་》《སྣར་》,༼ཏེ།,
,,26,6,《པེ་》《སྣར་》,ཐག་བཟང་།,
,,27,7,《པེ་》,སྒྱུ།,
,,28,8,《པེ་》《སྣར་》,༽ནོ།,
,,29,9,《པེ་》《སྣར་》,བཟང་ཐ་ག་མ།,
,,30,10,《པེ་》《སྣར་》,གིས།,
,,31,11,《པེ་》《སྣར་》,༼དག་གི་ཡང་རྒྱུ་ཡོད་པ་དང་མེད་པ།,
,385,32,1,《པེ་》《སྣར་》,༽ནི།,
,,33,2,《པེ་》《སྣར་》,གི།,
,,34,3,《པེ་》《སྣར་》,༽ཉིད།,
,,35,4,《པེ་》《སྣར་》,༼ནི།,
,,36,5,《པེ་》《སྣར་》,འགག,
,,37,6,《པེ་》《སྣར་》,༼རོ།,
,,38,7,《པེ་》《སྣར་》,ཀྱི།,
,,39,8,《པེ་》《སྣར་》,གཉིས་ཀ,
,,40,9,《པེ་》《སྣར་》,༽ཞེ་ན།,
,,41,10,《པེ་》《སྣར་》,ཕན་ཚུན་བལྟོས།,
,,42,11,《སྣར་》,ག་དང་།,
,386,43,1,《པེ་》《སྣར་》,བསླུ།,
,,44,2,《པེ་》《སྣར་》,ནོ།,
,,45,3,《པེ་》《སྣར་》,༼ནི།,
,,46,4,《པེ་》《སྣར་》,སྤངས་པའི།,
,,47,5,《པེ་》《སྣར་》,གིས།,
,,48,6,《པེ་》《སྣར་》,པར།,
,,49,7,《པེ་》《སྣར་》,བཟུང་།,
,,50,8,《པེ་》《སྣར་》,ལས།,
,,51,9,《པེ་》《སྣར་》,མི།,
,,52,10,《པེ་》《སྣར་》,རྒྱུ་ནི།,
,387,53,1,《པེ་》《སྣར་》,མཁའི།,
,,54,2,《པེ་》《སྣར་》,བསླུ།,
,,55,3,《པེ་》《སྣར་》,ཀྱི།,
,,56,4,《པེ་》《སྣར་》,༼ཡང་།,
,388,57,1,《པེ་》《སྣར་》,ཏེ།,
,,58,2,《པེ་》《སྣར་》,ལྟར།,
,,59,3,《པེ་》《སྣར་》,༼མ།,
,389,60,1,《པེ་》《སྣར་》,ཞིག་ན་ཀར་ན་འཇིག་པ།,
,,61,2,《པེ་》《སྣར་》,༼ཕྱིར།,
,,62,3,《པེ་》《སྣར་》,སྤྱིའོ།,
,,63,4,《པེ་》《སྣར་》,མ།,
,,64,5,《པེ་》《སྣར་》,ལྟར།,
,390,65,1,《པེ་》《སྣར་》,༼དག  ,
,,66,2,《པེ་》《སྣར་》,༽ཡིད་ལ་ནི་མཐོང་བ་མེད་དོ།,
,,67,3,《པེ་》《སྣར་》,༼མི།,
,,68,4,《པེ་》《སྣར་》,བས།,
,,69,5,《པེ་》《སྣར་》,༼ནི།,
,,70,6,《པེ་》《སྣར་》,༽མ།,
,391,71,1,《པེ་》《སྣར་》,ལས།,
,,72,2,《པེ་》《སྣར་》,བྱ་བའོ།,
,,73,3,《པེ་》《སྣར་》,༼རྣམས།,
,,74,4,《པེ་》《སྣར་》,ལྟར།,
,,75,5,《པེ་》《སྣར་》,༼ལ།,
,392,76,1,《པེ་》《སྣར་》,རགས།,
,,77,2,《པེ་》《སྣར་》,༼ཡོད།,
,,78,3,《པེ་》《སྣར་》,ཏེ།,
,,79,4,《པེ་》《སྣར་》,ལ།,
,,80,5,《པེ་》《སྣར་》,སྨྲས་པ།,
,,81,6,《པེ་》《སྣར་》,༼རོ།,
,,82,7,《པེ་》《སྣར་》,བསྐྱེད།,
,,83,8,《པེ་》《སྣར་》,རུལ།,
,393,84,1,《པེ་》《སྣར་》,ལ།,
,,85,2,《པེ་》《སྣར་》,པ།,
,,86,3,《པེ་》《སྣར་》,༽གང་གི་ཚེ་གནས་པ་མེད་པ་དེའི་ཚེ་སྐྱེ་བ་གང་གི་ཡིན།,
,,87,4,《པེ་》《སྣར་》,༼གང་གི།,
,,88,5,《པེ་》《སྣར་》,ཤམ།,
,,89,6,《པེ་》,༼ན།,
,394,90,1,《པེ་》《སྣར་》,༼དང་།,
,,91,2,《པེ་》《སྣར་》,༽ན།,
,,92,3,《པེ་》《སྣར་》,ཅིག,
,,93,4,《པེ་》《སྣར་》,༽ཡང་།,
,,94,5,《པེ་》《སྣར་》,དུ།,
,,95,6,《པེ་》《སྣར་》,ཡང་།,
,,96,7,《པེ་》《སྣར་》,༼ཏེ།,
,395,97,1,《པེ་》《སྣར་》,༼ཀྱང་།,
,,98,2,《པེ་》《སྣར་》,༼སྨྲས་པ།,
,,99,3,《པེ་》《སྣར་》,མ།,
,,100,4,《པེ་》《སྣར་》,ཀྱིས།,
,,101,5,《པེ་》《སྣར་》,༽འདི།,
,,102,6,《པེ་》《སྣར་》,ཀྱིས།,
,,103,7,《པེ་》《སྣར་》,༽ལ།,
,,104,8,《པེ་》《སྣར་》,ལྟར།,
,396,105,1,《པེ་》《སྣར་》,༼ཡང་།,
,,106,2,《པེ་》《སྣར་》,གི།,
,,107,3,《པེ་》《སྣར་》,བསྐྱེད།,
,,108,4,《པེ་》《སྣར་》,གིས།,
,,109,5,《པེ་》《སྣར་》,༼པ།,
,,110,6,《པེ་》《སྣར་》,ཀྱི།,
,,111,7,《པེ་》《སྣར་》,བསྐྱེད།,
,,112,8,《པེ་》《སྣར་》,བསྐྱེད།,
,,113,9,《པེ་》《སྣར་》,༼མ།,
,,114,10,《པེ་》《སྣར་》,༼རྣམས།,
,,115,11,《པེ་》《སྣར་》,༽མ།,
,,116,12,《པེ་》《སྣར་》,འགགས།,
,,117,13,《པེ་》《སྣར་》,༼རྣམས།,
,,118,14,《པེ་》《སྣར་》,༼རྣམས།,
,397,119,1,《པེ་》《སྣར་》,ལས་ཁྱིམ།,
,,120,2,《པེ་》《སྣར་》,དངོས།,
,,121,3,《པེ་》《སྣར་》,༼དེ།,
,,122,4,《པེ་》《སྣར་》,རོ།,
,,123,5,《སྣར་》,པར།,
,,124,6,《པེ་》《སྣར་》,ནི་དེའི།,
,,125,7,《པེ་》《སྣར་》,འདི།,
,,126,8,《པེ་》《སྣར་》,རྟོག,
,,127,9,《པེ་》《སྣར་》,ཀྱི།,
,398,128,1,《པེ་》《སྣར་》,ན།,
,,129,2,《པེ་》《སྣར་》,ཧི།,
,,130,3,《པེ་》《སྣར་》,ཊ།,
,,131,4,《པེ་》《སྣར་》,པ།,
,,132,5,《པེ་》《སྣར་》,སོ།,
,,133,6,《པེ་》《སྣར་》,༼ལྟར།,
,399,134,1,《པེ་》《སྣར་》,དེ།,
,,135,2,《པེ་》《སྣར་》,༽པོ།,
,,136,3,《པེ་》,དགག་པ།,《སྣར་》,དགལ་བ།
,,137,4,《པེ་》《སྣར་》,བསྒྲུབ།,
,,138,5,《སྣར་》,ལྟ།,
,,139,6,《པེ་》《སྣར་》,མིན།,
,,140,7,《པེ་》《སྣར་》,ལོ་ཙཱ།,
