མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།
༄༅། །ཚད་མ་ཀུན་ལས་བཏུས་པའི་འགྲེལ་པ།,252,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། ཆོས་ཚན་འདི་《སྡེ་》《ཅོ་》ལ་མི་བཞུགས་པས་《པེ་》ལ་གཞིར་བཟུང་ནས་《སྣར་》དང་དཔེ་བསྡུར་བྱས་ཡོད།,
,,3,2,《སྣར་》,མཱ།,
,254,4,1,《སྣར་》,pཔར།,
,,5,2,《སྣར་》,pཔ།,
,255,6,1,《སྣར་》,བལྟོས།,
,257,7,1,《སྣར་》,pདེ།,
,,8,2,《སྣར་》,རྟག,
,258,9,1,《སྣར་》,གྱི།,
,259,10,1,《སྣར་》,pལ།,
,,11,2,《སྣར་》,བྱ་བའི།,
,,12,3,《སྣར་》,mནི།,
,260,13,1,《སྣར་》,pཔ།,
,261,14,1,《སྣར་》,མི།,
,262,15,1,《སྣར་》,པོའི།,
,,16,2,《སྣར་》,དེ་ལ།,
,,17,3,《སྣར་》,པར།,
,263,18,1,《སྣར་》,pཔའི།,
,,19,2,《སྣར་》,pཡུལ་གཞན་ལ་ཚད་མར་འགྱུར་ཞིང་།,
,a,20,,,,
,264,21,1,《སྣར་》,རིགས།,
,,22,2,《སྣར་》,འགའ།,
,,23,3,《སྣར་》,mཔ།,
,265,24,1,《སྣར་》,ལས།,
,267,25,1,《སྣར་》,འདོད།,
,,26,2,《སྣར་》,རེགས།,
,,27,3,《སྣར་》,pམ།,
,268,28,1,《སྣར་》,ལྟར།,
,,29,2,《སྣར་》,པར།,
,,30,3,《སྣར་》,པའོ།,
,269,31,1,《སྣར་》,pཔ།,
,,32,2,《སྣར་》,བཟུང་།,
,271,33,1,《སྣར་》,རིགས།,
,272,34,1,《སྣར་》,pན།,
,273,35,1,《སྣར་》,ཀྱིས།,
,,36,2,《སྣར་》,པར།,
,,37,3,《སྣར་》,བཟུང་།,
,,38,4,《སྣར་》,pབུ།,
,274,39,1,《སྣར་》,པས།,
,,40,2,《སྣར་》,pསོ།,
,277,41,1,《སྣར་》,རིགས།,
,,42,2,《སྣར་》,mམ།,
,278,43,1,《སྣར་》,pཏེ།,
,,44,2,《སྣར་》,བསྒྲུབས།,
,,45,3,《སྣར་》,རིགས།,
,,46,4,《སྣར་》,pའགྱུར།,
,279,47,1,《སྣར་》,ཀྱིས།,
,,48,2,《སྣར་》,ཆེགས།,
,280,49,1,《སྣར་》,pཔ།,
,,50,2,《སྣར་》,mམི།,
,,51,3,《སྣར་》,ཆོན།,
,,52,4,《སྣར་》,བརྟགས།,
,281,53,1,《སྣར་》,mགི།,
,,54,2,《སྣར་》,pལ།,
,,55,3,《སྣར་》,རིགས།,
,282,56,1,《སྣར་》,རྒྱུ།,
,,57,2,《སྣར་》,pབ།,
,,58,3,《སྣར་》,mལ།,
,,59,4,《སྣར་》,pདེ།,
,283,60,1,《སྣར་》,pན།,
,,61,2,《སྣར་》,པ།,
,,62,3,《སྣར་》,དེ།,
,284,63,1,《སྣར་》,པར།,
,287,64,1,《སྣར་》,pམི།,
,289,65,1,《སྣར་》,རིག,
,,66,2,《སྣར་》,གཞལ།,
,290,67,1,《སྣར་》,དཔག,
,291,68,1,《སྣར་》,pཆོས་ཅན།,
,292,69,1,《སྣར་》,རྟོག,
,293,70,1,《སྣར་》,mཉིད།,
,,71,2,《སྣར་》,གྱི།,
,294,72,1,《སྣར་》,བཟློགས།,
,,73,2,《སྣར་》,བསལ།,
,,74,3,《སྣར་》,ནས།,
,295,75,1,《སྣར་》,འཇིགས།,
,,76,2,《སྣར་》,རིགས།,
,,77,3,《སྣར་》,བའི།,
,296,78,1,《སྣར་》,རིག,
,,79,2,《སྣར་》,ཕྱིས།,
,297,80,1,《སྣར་》,pམ།,
,,81,2,《སྣར་》,ན།,
,,82,3,《སྣར་》,pབ།,
,298,83,1,《སྣར་》,གཞག,
,300,84,1,《སྣར་》,མེ།,
,,85,2,《སྣར་》,mལ།,
,301,86,1,《སྣར་》,མེ།,
,302,87,1,《སྣར་》,pཔ།,
,305,88,1,《སྣར་》,གྱིས།,
,,89,2,《སྣར་》,pསུམ།,
,307,90,1,《སྣར་》,འམ།,
,309,91,1,《སྣར་》,pནི་གསལ་བར་བྱེད་པ་ཉིད།,
,310,92,1,《སྣར་》,པར།,
,,93,2,《སྣར་》,གེགས།,
,,94,3,《སྣར་》,པའི་རྟག,
,311,95,1,《སྣར་》,pདེ།,
,312,96,1,《སྣར་》,pསྟེ།,
,,97,2,《སྣར་》,ན།,
,313,98,1,《སྣར་》,འདི།,
,314,99,1,《སྣར་》,pཏེ།,
,,100,2,《སྣར་》,ཕུལ།,
,,101,3,《སྣར་》,ན།,
,,102,4,《སྣར་》,pམ།,
,315,103,1,《སྣར་》,pཔ།,
,319,104,1,《སྣར་》,pན།,
,,105,2,《སྣར་》,pརོ།,
,320,106,1,《སྣར་》,pདམ་བཅའ་བའི་དོན་ཐུན་མོང་མ་ཡིན་པ་ཉིད་ཆོས་ཅན་དུ་འགྱུར་རོ་ཞེ་ན།,
,,107,2,《སྣར་》,pཅན།,
,,108,3,《སྣར་》,དེའི།,
,321,109,1,《སྣར་》,གི།,
,,110,2,《སྣར་》,བར།,
,,111,3,《སྣར་》,གའམ།,
,322,112,1,《སྣར་》,གྱིས།,
,,113,2,《སྣར་》,pཔར།,
,,114,3,《སྣར་》,ཡིན།,
,,115,4,《སྣར་》,གིས།,
,,116,5,《སྣར་》,ལྟ།,
,323,117,1,《སྣར་》,ལས།,
,,118,2,《སྣར་》,mཅན།,
,324,119,1,《སྣར་》,པ།,
,325,120,1,《སྣར་》,mལ།,
,328,121,1,《སྣར་》,pཔ།,
,329,122,1,《སྣར་》,བསྒྲུབ།,
,,123,2,《སྣར་》,དུས།,
,,124,3,《སྣར་》,pརོ།,
,330,125,1,《སྣར་》,pན།,
,,126,2,《སྣར་》,བྱེད།,
,331,127,1,《སྣར་》,ཆེས།,
,333,128,1,《སྣར་》,pལམ་གྱི།,
,,129,2,《སྣར་》,དག,
,334,130,1,《སྣར་》,ད་ལྟར།,
,335,131,1,《སྣར་》,བརྟན།,
,336,132,1,《སྣར་》,mདེ།,
,337,133,1,《སྣར་》,ལས།,
,338,134,1,《སྣར་》,ནར།,
,,135,2,《སྣར་》,mབ།,
,,136,3,《སྣར་》,འདིར།,
,,137,4,《སྣར་》,དམ་པ།,
,340,138,1,《སྣར་》,pདེ།,
,341,139,1,《སྣར་》,དང་བ།,
,,140,2,《སྣར་》,།།,
,342,141,1,《སྣར་》,མེད་ཡང་།,
,,142,2,《སྣར་》,ཚིགས།,
,343,143,1,《སྣར་》,pཔ།,
,,144,2,《སྣར་》,དང་།,
,,145,3,《སྣར་》,ནི་མེད་པ།,
,344,146,1,《སྣར་》,ཚིགས།,
,,147,2,《སྣར་》,རྟོག,
,,148,3,《སྣར་》,ཚིགས།,
,,149,4,《སྣར་》,mཔ།,
,345,150,1,《སྣར་》,གཏང་།,
,,151,2,《སྣར་》,ཟློག,
,347,152,1,《སྣར་》,པ།,
,,153,2,《སྣར་》,བརྟགས།,
,,154,3,《སྣར་》,pཔ།,
,348,155,1,《སྣར་》,ཚིགས།,
,,156,2,《སྣར་》,དེ།,
,350,157,1,《སྣར་》,རྣམས་རིགས།,
,,158,2,《སྣར་》,གྱིས།,
,,159,3,《སྣར་》,pལ།,
,,160,4,《སྣར་》,བུའི།,
,351,161,1,《སྣར་》,འདུམ།,
,352,162,1,《སྣར་》,རིགས།,
,353,163,1,《སྣར་》,པ།,
,,164,2,《སྣར་》,དེས།,
,354,165,1,《སྣར་》,བསྒྲོག,
,,166,2,《སྣར་》,ནོ།,
,355,167,1,《སྣར་》,mཔ།,
,356,168,1,《སྣར་》,མ།,
,,169,2,《སྣར་》,ནོ།།,
,357,170,1,《སྣར་》,pཔ།,
,359,171,1,《སྣར་》,ནི།,
,360,172,1,《སྣར་》,ལྟར།,
,,173,2,《སྣར་》,འབྲལ་བའི།,
,,174,3,《སྣར་》,ན།,
,,175,4,《སྣར་》,བརྗེད།,
,,176,5,《སྣར་》,མཐོ།,
,361,177,1,《སྣར་》,mགྱི།,
,362,178,1,《སྣར་》,pསུ།,
,,179,2,《སྣར་》,སྒྲུབ།,
,363,180,1,《སྣར་》,བར།,
,,181,2,《སྣར་》,ལྟ།,
,364,182,1,《སྣར་》,mདུ།,
,,183,2,《སྣར་》,mདེ།,
,365,184,1,《སྣར་》,བསྟན།,
,,185,2,《སྣར་》,བཟུང་།,
,366,186,1,《སྣར་》,pལ།,
,,187,2,《སྣར་》,པར།,
,,188,3,《སྣར་》,བརྗོད།,
,367,189,1,《སྣར་》,པོ།,
,368,190,1,《སྣར་》,pརོ།,
,371,191,1,《སྣར་》,འབྱུང་།,
,373,192,1,《སྣར་》,mཔར་ནུས།,
,,193,2,《སྣར་》,mཔ།,
,,194,3,《སྣར་》,རྟོགས།,
,374,195,1,《སྣར་》,ཏེ།,
,,196,2,《སྣར་》,ཀྱིས།,
,,197,3,《སྣར་》,mལ།,
,,198,4,《སྣར་》,བསལ།,
,375,199,1,《སྣར་》,pབར།,
,,200,2,《སྣར་》,mཀྱི།,
,,201,3,《སྣར་》,ནི།,
,376,202,1,《སྣར་》,བརྟན།,
,,203,2,《སྣར་》,ཡང་།,
,378,204,1,《སྣར་》,ན།,
,,205,2,《སྣར་》,ན།,
,380,206,1,《སྣར་》,mན།,
,,207,2,《སྣར་》,mནི།,
,381,208,1,《སྣར་》,ལྟར།,
,,209,2,《སྣར་》,ཤེས།,
,,210,3,《སྣར་》,pཅན།,
,382,211,1,《སྣར་》,བརྗོད།,
,,212,2,《སྣར་》,རྗོད།,
,383,213,1,《སྣར་》,ནོ།།,
,,214,2,《སྣར་》,མང་པོའི།,
,,215,3,《སྣར་》,སོན།,
,,216,4,《སྣར་》,mཡོད་པའི།,
,384,217,1,《སྣར་》,mདེ།,
,385,218,1,《སྣར་》,ཡི་གེ།,
,386,219,1,《སྣར་》,གཅིག,
,,220,2,《སྣར་》,སྤངས།,
,,221,3,《སྣར་》,གིས།,
,,222,4,《སྣར་》,བ།,
,387,223,1,《སྣར་》,pན།,
,388,224,1,《སྣར་》,པས།,
,390,225,1,《སྣར་》,བསལ།,
,391,226,1,《སྣར་》,mཀྱི།,
,392,227,1,《སྣར་》,།།,
,,228,2,《སྣར་》,pཏེ།,
,393,229,1,《སྣར་》,pན།,
,394,230,1,《སྣར་》,བོ།,
,396,231,1,《སྣར་》,ཟའོ།,
,,232,2,《སྣར་》,སྤྱིའི།,
,,233,3,《སྣར་》,ལ།,
,397,234,1,《སྣར་》,pནི།,
,,235,2,《སྣར་》,ཏེའི།,
,398,236,1,《སྣར་》,དང་།,
,,237,2,《སྣར་》,ཡོང་།,
,399,238,1,《སྣར་》,ཀྱིས།,
,,239,2,《སྣར་》,སྐྱེས།,
,400,240,1,《སྣར་》,pབར་བྱ།,
,402,241,1,《སྣར་》,mལང་།,
,,242,2,《སྣར་》,mཅད།,
,,243,3,《སྣར་》,གྱིས།,
,,244,4,《སྣར་》,ན།,
,,245,5,《སྣར་》,ནས།,
,,246,6,《སྣར་》,དེ།,
,403,247,1,《སྣར་》,རིགས།,
,404,248,1,《སྣར་》,བསལ།,
,,249,2,《སྣར་》,མིན།,
,,250,3,《སྣར་》,pཔ།,
,,251,4,《སྣར་》,བཀག,
,,252,5,《སྣར་》,རྐོག,
,405,253,1,《སྣར་》,ཚིགས།,
,407,254,1,《སྣར་》,པས།,
,408,255,1,《སྣར་》,དེ།,
,409,256,1,《སྣར་》,གསུང་བའི།,
,,257,2,《སྣར་》,ཡིན།,
,410,258,1,《སྣར་》,pདེ།,
,,259,2,《སྣར་》,བོའི།,
,415,260,1,《སྣར་》,pཡོད།,
,,261,2,《སྣར་》,ཁྱབ།,
,,262,3,《སྣར་》,སྦྱར།,
,416,263,1,《སྣར་》,མིག,
,417,264,1,《སྣར་》,pརྩོལ།,
,418,265,1,《སྣར་》,mཀུན།,
,,266,2,《སྣར་》,pནོ།,
,,267,3,《སྣར་》,བར།,
,,268,4,《སྣར་》,རིགས།,
,419,269,1,《སྣར་》,དཔོགས།,
,,270,2,《སྣར་》,པ།,
,420,271,1,《སྣར་》,ཡང་།,
,,272,2,《སྣར་》,པ།,
,421,273,1,《སྣར་》,བརྩོད།,
,,274,2,《སྣར་》,བའི།,
,422,275,1,《སྣར་》,pབྱ།,
,424,,1,《སྣར་》,གྱིས།,
