མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,
༄༅། །འབྲེལ་པ་བརྟག་པའི་འགྲེལ་པ།,884,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་འབྲེལ་པ་བརྟག་པའི་འགྲེལ་པ་བཞུགས་སོ། །ཞེས་འཁོད།,,
,,3,2,《པེ་》,བནྡྷ་པ་རི་ཀ་བྲིཏྟི།,《སྣར་》,བནྡྷ་པ་རི་ཀ་བྲྀཏྟ།,《ཅོ་》,པནྡྷ་པ་རིཀྵ་བྲྀཏྟ།
,,4,3,《སྣར་》,སྨྲོས།,,
,,5,4,《སྣར་》,༼མེད།,,
,,6,5,《པེ་》《སྣར་》,ན།,,
,885,7,1,《པེ་》《སྣར་》,ལས།,,
,,8,2,《པེ་》《སྣར་》,པོར།,,
,,9,3,《པེ་》,རྟོགས།,,
,,10,4,《པེ་》《སྣར་》,དག,,
,,11,5,《པེ་》,བོས་འདྲེས་པ་འབྲེལ།,《སྣར་》,བོས་འདྲེལ་པ་བ་འབྲེལ་པ།,
,,12,6,《པེ་》《སྣར་》,ཏུ།,,
,,13,7,《པེ་》《སྣར་》,༼པ།,,
,,14,8,《ཅོ་》,པར།,,
,,15,9,《པེ་》《སྣར་》,༼ཆད།,,
,,16,10,《པེ་》,ཅན།,,
,,17,11,《པེ་》,ཙམ།,,
,,18,12,《པེ་》《སྣར་》,༼ལ།,,
,,19,13,《ཅོ་》,པར།,,
,886,20,1,《པེ་》《སྣར་》,བོར།,,
,,21,2,《པེ་》《སྣར་》,༼གི།,,
,,22,3,《པེ་》《སྣར་》,ཅན་གཅིག་པུ་ཡིས།,,
,,23,4,《པེ་》《སྣར་》,༼དོན།,,
,,24,5,《སྣར་》,བརྟགས་པ་ཁོ་ན།,,
,,25,6,《པེ་》《སྣར་》,༼འབྲེལ་པ་ལས།,,
,,26,7,《པེ་》《སྣར་》,༽དང་།,,
,,27,8,《པེ་》《སྣར་》,༼ཡང་།,,
,887,28,1,《པེ་》《སྣར་》,པའང་།,,
,,29,2,《པེ་》《སྣར་》,༽པ།,,
,,30,3,《པེ་》《སྣར་》,རྟོག,,
,,31,4,《པེ་》《སྣར་》,བསལ།,,
,,32,5,《པེ་》《སྣར་》,པོའི།,,
,,33,6,《པེ་》,ཚིགས།,,
,888,34,1,《པེ་》,པར།,,
,,35,2,《པེ་》《སྣར་》,༼འགྲུབ།།,,
,,36,3,《ཅོ་》,བུས།,,
,,37,4,《པེ་》《སྣར་》,༽ཡིན།,,
,,38,5,《པེ་》《སྣར་》,༼ཏུ།,,
,,39,6,《སྣར་》,རྟོགས།,,
,,40,7,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,
,889,41,1,《པེ་》《སྣར་》,རིམས་ཀྱིས།,,
,,42,2,《པེ་》《སྣར་》,པར།,,
,,43,3,《པེ་》《སྣར་》,དོ།།,,
,,44,4,《པེ་》,ནའོ་ཐོབ།,,
,,45,5,《པེ་》《སྣར་》,རོ།,,
