མཚན་བྱང་།,པར་གྲངས།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན,
༄༅། །རྒྱུད་གཞན་གྲུབ་བཞུགས་སོ།,,941,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》《སྣར་》ལ་རྒྱུད་གཞན་གྲུབ་པ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,,3,2,《པེ་》《སྣར་》,ནནྟ།,
,,,4,3,《པེ་》《སྣར་》,mཎ།,
,,,5,4,《པེ་》《སྣར་》,mབྱ།,
,,,6,5,《པེ་》《སྣར་》,mམེད་པར།,
,,,7,6,《པེ་》《སྣར་》,mནི།,
,,,8,7,《པེ་》《སྣར་》,pབློ།,
,,942,9,1,《པེ་》《སྣར་》,mཅན།,
,,,10,2,《པེ་》《སྣར་》,བ།,
,,,11,3,《པེ་》《སྣར་》,mན།,
,,,12,4,《པེ་》《སྣར་》,གི།,
,,,13,5,《སྣར་》,དེ་བས།,
,,,14,6,《པེ་》《སྣར་》,pཁོ་ན།,
,,,15,7,《པེ་》《སྣར་》,འཕང་བ།,
,,,16,8,《པེ་》《སྣར་》,རྒྱོགས།,
,,943,17,1,《པེ་》《སྣར་》,pབ།,
,,,18,2,《པེ་》《སྣར་》,mནི་གཡོ་བའི་སྤྱི།,
,,,19,3,《པེ་》《སྣར་》,ལྟ།,
,,,20,4,《པེ་》《སྣར་》,pའདི།,
,,,21,5,《པེ་》,mསྨྲ་བར།,《སྣར་》,སྣང་།
,,,22,6,《པེ་》《སྣར་》,mནི།,
,,,23,7,《པེ་》《སྣར་》,pཡིན་པར།,
,,,24,8,《པེ་》《སྣར་》,གྱི།,
,,944,25,1,《པེ་》《སྣར་》,གི།,
,,,26,2,《པེ་》,བསློག,《སྣར་》,བཟློག
,,,27,3,《པེ་》《སྣར་》,pདུ།,
,,,28,4,《པེ་》《སྣར་》,གྱིས་བརླབས།,
,,,29,5,《པེ་》《སྣར་》,pགཉིད།,
,,,30,6,《པེ་》《སྣར་》,mགྱི།,
,,,31,7,《པེ་》《སྣར་》,གྱིས།,
,,,32,8,《པེ་》《སྣར་》,གྱི།,
,,,33,9,《པེ་》《སྣར་》,བུ།,
,,945,34,1,《པེ་》《སྣར་》,mའདི།,
,,,35,2,《པེ་》《སྣར་》,mན།,
,,,36,3,《པེ་》《སྣར་》,mལ།,
,,,37,4,《སྣར་》,དེ།,
,,,38,5,《པེ་》,ཉེ་བར།,
,,,39,6,《པེ་》《སྣར་》,ལ།,
,,,40,7,《པེ་》《སྣར་》,པར།,
,,,41,8,《པེ་》《སྣར་》,པ།,
,,,42,9,《པེ་》《སྣར་》,ཀླགས།,
,,,43,10,《པེ་》《སྣར་》,pའདི།,
,,,44,11,《པེ་》《སྣར་》,mཅན།,
,,,45,12,《པེ་》《སྣར་》,པ།,
,,746,46,1,《པེ་》《སྣར་》,mརང་།,
,,,47,2,《པེ་》《སྣར་》,རྒྱུ།,
,,,48,3,《པེ་》《སྣར་》,mདག,
,,,49,4,《པེ་》《སྣར་》,གཉིས།,
,,,50,5,《པེ་》《སྣར་》,pཏུ།,
,,,51,6,《པེ་》《སྣར་》,mདག,
,,747,52,1,《པེ་》《སྣར་》,mདེ།,
,,,53,2,《པེ་》《སྣར་》,རྟོག,
,,,54,3,《པེ་》《སྣར་》,mཉིད།,
,,,55,4,《པེ་》《སྣར་》,གཅིག,
,,,56,5,《པེ་》《སྣར་》,mཉིད།,
,,,57,6,《པེ་》《སྣར་》,ཏོ།།,
,,,58,7,《པེ་》《སྣར་》,mབའི་ཕྱིར།,
,,,59,8,《པེ་》《སྣར་》,mམི་འཛིན་ཀྱང་…...རང་གི་ངོ་བོའི།,
,,,60,9,《པེ་》《སྣར་》,mབའི་ཕྱིར།,
,,748,61,1,《པེ་》《སྣར་》,པས།,
,,,62,2,《པེ་》《སྣར་》,pསྐྱེས་པ།,
,,,63,3,《པེ་》《སྣར་》,ཀྱིས། ཚད།,
,,,64,4,《པེ་》《སྣར་》,pདབང་།,
,,,65,5,《པེ་》《སྣར་》,རྒྱུན།,
,,849,66,1,《སྣར་》,འདུ།,
,,,67,2,《པེ་》《སྣར་》,ཀྱི།,
,,,68,3,《པེ་》《སྣར་》,ཀྱི།,
,,,69,4,《པེ་》《སྣར་》,གྱིས།,
,,,70,5,《པེ་》《སྣར་》,འོ་ན།,
,,,71,6,《པེ་》《སྣར་》,ཀྱིས།,
,,,72,7,《པེ་》《སྣར་》,mཉིད་ཀྱི།,
,,,73,8,《པེ་》《སྣར་》,mཉིད།,
,,,74,9,《པེ་》《སྣར་》,བར་ངེས་པ་གཟུང་ནས།,
,,,75,10,《པེ་》《སྣར་》,འདི།,
,,,76,11,《སྣར་》,དྷརྨ།,
,,,77,12,《པེ་》《སྣར་》,སི།,
,,,78,13,《པེ་》《སྣར་》,ཙ།,
,,,79,14,《པེ་》《སྣར་》,mཞུས་ཏེ།,
