མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
ཤེར་ཕྱིན། (ག),3,,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,
,,,2,《པེ་》《སྣར་》,ཏཱ།,
,,,3,《པེ་》《སྣར་》,གསུང་བ།,
,,,4,《སྣར་》,pལོ།,
,4,,1,《པེ་》《སྣར་》,པ།,
,,,2,《པེ་》《སྣར་》,རིགས།,
,,2,3,《པེ་》《སྣར་》《ཅོ་》,mམ,
,,3,4,《པེ་》《སྣར་》,པོ།,
,,4,5,《པེ་》《སྣར་》,ཀྱིས།,
,5,5,1,《པེ་》,བརྩམ།,
,,6,2,《པེ་》《སྣར་》,pལ།,
,,7,3,《པེ་》《སྣར་》,གནོན།,
,,8,4,《པེ་》《སྣར་》,mདང་།,
,,9,5,《པེ་》《སྣར་》,རྒྱུ།,
,,10,6,《པེ་》《སྣར་》,mསྤྱོད་པ་དང་།,
,,11,7,《པེ་》《སྣར་》,བཟུང་།,
,6,12,1,《པེ་》《སྣར་》,བརྒྱ།,
,,13,2,《པེ་》《སྣར་》,བསྒྲུབ།,
,,14,3,《པེ་》《སྣར་》,pཔ,
,7,15,1,《པེ་》《སྣར་》,བཞག,
,,16,2,《པེ་》《སྣར་》,ལོ།,
,,17,3,《པེ་》《སྣར་》,དཀུ་སྟ།,
,,18,4,《པེ་》《སྣར་》,རྩིབས།,
,,19,5,《སྣར་》,ཀྱི།,
,8,20,1,《སྣར་》,mཕྱོགས།,
,,21,2,《པེ་》《སྣར་》,ཀྱིས།,
,,22,3,《སྣར་》,བཀྱེ།,《སྣར་》,བསྐྱེ།
,,23,4,《པེ་》《སྣར་》,ཀྱིས།,
,9,24,1,《པེ་》《སྣར་》,མཐོན།,
,,25,2,《པེ་》《སྣར་》,mབྱུང་བ།,
,,26,3,《པེ་》《སྣར་》,pསྣ་ཚོགས་སུ་འདུག་པ་ལྟ་ན་སྡུག་པ་ཡིད་དུ་འོང་བ་ཁ་དོག་བཟང་བ་དྲི་ཞིམ་པ་འཇམ་པ་ཀ་ཙ་ལིནྡི་ཀ་ལྟར་རེག་ན་བདེ་བར་འགྱུར་བ་ཤ་སྟག་ཀུན་ནས་གནས་པར།,
,,27,4,《པེ་》《སྣར་》,པདྨ།,
,,28,5,《པེ་》《སྣར་》,པར།,
,,29,6,《པེ་》《སྣར་》,ཀྱིས།,
,,30,7,《པེ་》《སྣར་》,ཀྱི།,
