མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,
༄༅། །ཤེས་རབ་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ།,3,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད།,,
,,3,2,《པེ་》《སྣར་》,mཤེས་རབ་ཀྱི་ཕ་རོ་ཏུ་ཕྱིན་པ་སྟོང་ཕྲག་ཉི་ཤུ་ལྔ་པ།,,
,,4,3,《པེ་》,གའི།,,
,,5,4,《པེ་》《སྣར་》,། ( འདིའི་འོག་གི་ལེའུ་དང་བམ་པོ་མ་གཏོགས་པའི་བཞི་ཤད་ཅན་ཕལ་ཆེར་ལ། 《པེ་》《སྣར་》ལ་བཞི་ཤད་མེད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།) ,,
,4,6,1,《པེ་》《སྣར་》,ནས།,,
,,7,2,《པེ་》《སྣར་》,mགི།,,
,,8,3,《པེ་》《སྣར་》,བཞག (འདིའི་འོག་གི་གཞག་རྣམས་《པེ་》《སྣར་》་ལ་བཞག་ཞེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད།),,
,5,9,1,《སྣར་》,མའོ།,,
,6,10,1,《པེ་》《སྣར་》,mབཞི།,,
,7,11,1,《པེ་》《སྣར་》,mཡང་དག་པར།,,
,8,12,1,《པེ་》《སྣར་》,mདེ་ནི་ཡོངས་སུ་བསྔོ་བ།,,
,,13,2,《པེ་》《སྣར་》,པ་ལ།,,
,10,14,1,《པེ་》《སྣར་》,བསླབ།,,
,,15,2,《པེ་》《སྣར་》,mཚད་མེད།,,
,11,16,1,《པེ་》《སྣར་》,སྒོམ།,,
,,17,2,《པེ་》《སྣར་》,mདུ།,,
,,18,3,《པེ་》《སྣར་》,བའོ།,,
,12,19,1,《པེ་》《སྣར་》,mཚོར་བ་དང་། འདུ་ཤེས་དང་། འདུ་བྱེད་རྣམས་དང། རྣམ་པར་ཤེས་པ་འབའ་ཞིག་སྟོང་། ,,
,,20,2,《པེ་》《སྣར་》,mཔ།,,
,13,21,1,《པེ་》《སྣར་》,pལས།,,
,,22,2,《པེ་》《སྣར་》,mནོ།,,
