མཚན་བྱང།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
མདོ་ཀུན་ལས་བཏུས་པ་ཆེན་པོ་ཞེས་བྱ་བ།,3,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད། ,
,,3,2,《སྣར་》,གང་།,
,,4,3,《པེ་》《སྣར་》,བར།,
,,5,4,《པེ་》《སྣར་》《ཅོ་》,བཞག,
,4,6,1,《སྣར་》,ཀྱིས།,
,,7,2,《པེ་》《སྣར་》,mཀྱང་།,
,,8,3,《པེ་》《སྣར་》,ལས།,
,,9,4,《པེ་》《སྣར་》,མ།,
,,10,5,《པེ་》《སྣར་》,mདུ།,
,,11,6,《པེ་》《སྣར་》,དྭཱ།,
,,12,7,《པེ་》《སྣར་》,ཅིག,
,,13,8,《པེ་》《སྣར་》,དྭཱ།,
,,14,9,《པེ་》《སྣར་》,ཕ།,
,5,15,1,《པེ་》《སྣར་》,བ།,
,,16,2,《པེ་》《སྣར་》,གིས་མདུན།,
,,17,3,《པེ་》,ཕྱས།,
,,18,4,《པེ་》《སྣར་》,pའདི།,
,6,19,1,《པེ་》《སྣར་》,འགྱུར་བའི།,
,,20,2,《པེ་》《སྣར་》,སྟོང་།,《ཅོ་》,བཏོང་།
,,21,3,《པེ་》《སྣར་》,ནས།,
,,22,4,《པེ་》,ལའས།,《སྣར་》,ལ་རང་།
,7,23,1,《པེ་》《སྣར་》,ནད།,
,,24,2,《པེ་》《སྣར་》,གྲོལ།,
,,25,3,《པེ་》《སྣར་》,དེ།,
,,26,4,《པེ་》《སྣར་》,འོས།,
,,27,5,《པེ་》《སྣར་》,བ།,
,,28,6,《པེ་》《སྣར་》,བ།,
,,29,7,《པེ་》《སྣར་》,ཉམས་སུ།,
,,30,8,《པེ་》《སྣར་》,བསླངས།,
,,31,9,《པེ་》,དབྱུགས།,
,,32,10,《པེ་》《སྣར་》,སློངས།,
,,33,11,《པེ་》《སྣར་》,འགྱུར།,
,,34,12,《པེ་》《སྣར་》,ནི།,
,8,35,1,《པེ་》《སྣར་》,མི།,
,,36,2,《པེ་》《སྣར་》,རྟག་ཏུ།,
,,37,3,《པེ་》《སྣར་》,mཔོ།,
,,38,4,《པེ་》,སྦྲུམས།,
,,39,5,《པེ་》《སྣར་》,སྦྱིན།,
,,40,6,《པེ་》《སྣར་》,བྱིན།,
,,41,7,《པེ་》《སྣར་》,བྱིན།,
,,42,8,《པེ་》《སྣར་》,པ།,
,,43,9,《པེ་》《སྣར་》,བྱིན།,
,9,44,1,《པེ་》《སྣར་》,ཞུགས།,
,,45,2,《པེ་》《སྣར་》,བཞག,
,,46,3,《པེ་》《སྣར་》,mཔ།,
,10,47,1,《པེ་》《སྣར་》,mཀྱི།,
,,48,2,《པེ་》《སྣར་》,pཀྱི།,
,,49,3,《པེ་》《སྣར་》,པར།,
,11,50,1,《པེ་》《སྣར་》,ཀྱི།,
,,51,2,《པེ་》《སྣར་》,ཀུན།,
,,52,3,《པེ་》《སྣར་》,ཀྱི།,
,,53,4,《པེ་》《སྣར་》,pདེ་ལྟར།,
,12,54,1,《པེ་》《སྣར་》,གྱི།,
,,55,2,《པེ་》《སྣར་》,བྱའོ།,
,,56,3,《པེ་》《སྣར་》,pའོ།།,
,,57,4,《པེ་》《སྣར་》,པས།,
,,58,5,《པེ་》《སྣར་》,ཀྱིས།,
,,59,6,《པེ་》《སྣར་》,pཐོས་པ་དང་།,
,13,60,1,《པེ་》《སྣར་》,འཕྲེང་།,
,,61,2,《པེ་》《སྣར་》,བུར།,
,,62,3,《པེ་》,གསགས།,
,,63,4,《སྣར་》,རེག,
,14,64,1,《སྣར་》,ནི།,
,,65,2,《པེ་》《སྣར་》,བཅད།,
,,66,3,《པེ་》《སྣར་》,ལྟར།,
,,67,4,《པེ་》《སྣར་》,སྣང་།,
,,68,5,《པེ་》《སྣར་》,mདེ།,
,15,69,1,《པེ་》《སྣར་》《ཅོ་》,གང་།,
,,70,2,《པེ་》《སྣར་》,mནི།,
,,71,3,《པེ་》《སྣར་》,པ་སྦྱིན།,
,,72,4,《པེ་》《སྣར་》,mཔས།,
,16,73,1,《པེ་》《སྣར་》,བར།,
,,74,2,《པེ་》《སྣར་》,mཀྱི།,
,,75,3,《པེ་》《སྣར་》,mགི།,
,,76,4,《པེ་》《སྣར་》,དང་།,
,,77,5,《པེ་》《སྣར་》,བ་ལའོ།,
,17,78,1,《པེ་》《སྣར་》,པར།,
,,79,2,《པེ་》《སྣར་》,འཐིབས།,
,,80,3,《པེ་》《སྣར་》,mསེམས་དཔའ་ཆེན་པོ།,
,18,81,1,《པེ་》《སྣར་》,པ།,
,,82,2,《སྣར་》,ནས།,
,,83,3,《སྣར་》,འཆལ་པ།,
,,84,4,《པེ་》《སྣར་》,བུས།,
,,85,5,《པེ་》《སྣར་》,གིས།,
,,86,6,《པེ་》《སྣར་》,ནི།,
,,87,7,《པེ་》《སྣར་》,mཔར།,
,,88,8,《པེ་》《སྣར་》,mལྟ།,
,,89,9,《པེ་》《སྣར་》,བ།,
,,90,10,《པེ་》《སྣར་》,mཁ།,
,,91,11,《པེ་》《སྣར་》,བ།,
,,92,12,《པེ་》《སྣར་》,mདང་།,
,19,93,1,《པེ་》《སྣར་》,གིས།,
,,94,2,《པེ་》《སྣར་》,mལ།,
,,95,3,《པེ་》《སྣར་》,ནས།,
,,96,4,《པེ་》《སྣར་》,འགྱུར་བ།,
,,97,5,《པེ་》《སྣར་》,pདེ།,
,,98,6,《པེ་》《སྣར་》,mདུ།,
,,99,7,《པེ་》《སྣར་》,བརྟེན།,
,,100,8,《པེ་》《སྣར་》,བརྟེན།,
,,101,9,《པེ་》《སྣར་》,སྒྲོགས།,
,,102,10,《པེ་》《སྣར་》,mལ།,
,20,103,1,《པེ་》《སྣར་》,བརྗོད།,
,,104,2,《པེ་》《སྣར་》,mནི།,
,,105,3,《པེ་》《སྣར་》,པ།,
,,106,4,《པེ་》《སྣར་》,བཏང་།,
,,107,5,《པེ་》《སྣར་》,སྐྱེད།,
,,108,6,《པེ་》《སྣར་》,ལ།,
,,109,7,《པེ་》《སྣར་》,mཔ།,
,21,110,1,《པེ་》《སྣར་》,སློངས།,
,,111,2,《པེ་》《སྣར་》,ཀྱི།,
,,112,3,《པེ་》《སྣར་》,སློངས།,
,,113,4,《པེ་》《སྣར་》,པ།,
,,114,5,《པེ་》《སྣར་》,མི།,
,,115,6,《པེ་》《སྣར་》,རྙེད།,
,22,116,1,《པེ་》《སྣར་》,mཁྱེད།,
,,117,2,《པེ་》《སྣར་》,mལ།,
,,118,3,《པེ་》《སྣར་》,mཔ།,
,,119,4,《པེ་》《སྣར་》,mཔ།,
,,120,5,《པེ་》《སྣར་》,mགང་ཡིན་པ།,
,,121,6,《སྣར་》,དཔའ།,
,23,122,1,《སྣར་》,བྱུང་།,
,,123,2,《པེ་》《སྣར་》,མ་ཆེ།,
,,124,3,《པེ་》《སྣར་》,མ་ཆེ།,
,,125,4,《པེ་》《སྣར་》,བརྟན།,
,24,126,1,《པེ་》《སྣར་》,སྐྱུག,
,,127,2,《སྣར་》,སེམས།,
,,128,3,《པེ་》《སྣར་》,གསོལ་བར།,
,,129,4,《པེ་》《སྣར་》,རྗོད།,
,,130,5,《པེ་》《སྣར་》,mབྱམས་པ་སྒྲུབ་པར་བྱེད་དོ།།,
,,131,6,《པེ་》,བསྒྲགས་ཅིང་།,《སྣར་》,བསྒྲགས་ཞིང་།
,,132,7,《པེ་》《སྣར་》,ཅིང་།,
,,133,8,《པེ་》《སྣར་》,mདང་།,
,25,134,1,《པེ་》《སྣར་》,པོ་པའི།,
,,135,2,《པེ་》《སྣར་》,བསྟེན།,
,,136,3,《པེ་》《སྣར་》,དོ།།,
,,137,4,《པེ་》,mཔའི།,
,,138,5,《སྣར་》,འགྱུར།,
,26,139,1,《པེ་》《སྣར་》,དེང་།,
,,140,2,《པེ་》《སྣར་》,ལྷུང་།,
,,141,3,《སྣར་》,བཏུབ།,
,,142,4,《པེ་》《སྣར་》,རྒོད།,
,,143,5,《པེ་》《སྣར་》,ལྕི།,
,,144,6,《པེ་》《སྣར་》,རྒྱབ། བསྐྱབས།,
,,145,7,《པེ་》《སྣར་》,པོ།,
,27,146,1,《པེ་》《སྣར་》,ལྟུང་།,
,,147,2,《པེ་》《སྣར་》,སྤོང་།,
,,148,3,《པེ་》《སྣར་》,ཡིས།,
,,149,4,《པེ་》《སྣར་》,གསལ།,
,28,150,1,《པེ་》《སྣར་》,པའི་དགོས།,
,,151,2,《པེ་》《སྣར་》,ཡངས།,
,,152,3,《པེ་》《སྣར་》,pཔ།,
,,153,4,《པེ་》《སྣར་》,བཅོམ།,
,,154,5,《པེ་》《སྣར་》,mགིས།,
,,155,6,《པེ་》《སྣར་》,mམདུན་གྱི།,
,,156,7,《པེ་》《སྣར་》,གྱི།,
,29,157,1,《པེ་》《སྣར་》,mནི།,
,,158,2,《པེ་》《སྣར་》,mཔ།,
,,159,3,《པེ་》《སྣར་》,mཔ།,
,,160,4,《པེ་》《སྣར་》,mཔ།,
,,161,5,《པེ་》《སྣར་》,དང་།,
,,162,6,《པེ་》《སྣར་》,བསྟེན།,
,,163,7,《སྣར་》,pཔ།,
,,164,8,《པེ་》《སྣར་》,བསག,
,30,165,1,《པེ་》《སྣར་》,སྲུང་།,
,,166,2,《པེ་》《སྣར་》,སློང་།,
,,167,3,《པེ་》《སྣར་》,ནི།,
,,168,4,《པེ་》《སྣར་》,སློང་།,
,,169,5,《པེ་》《སྣར་》,སློང་།,
,,170,6,《པེ་》《སྣར་》,སློང་།,
,,171,7,《པེ་》《སྣར་》,གྱིས།,
,31,172,1,《པེ་》《སྣར་》,pལ།,
,32,173,1,《པེ་》《སྣར་》,དེ།,
,,174,2,《པེ་》《སྣར་》,mབཻ་ཌཱུརྱ་དང་།,
,,175,3,《སྣར་》,mཔ།,
,,176,4,《སྣར་》,mཇི།,
,,177,5,《པེ་》《སྣར་》,གཅིག,
,,178,6,《པེ་》《སྣར་》,mདེ་དག,
,33,179,1,《པེ་》《སྣར་》,དེ།,
,,180,2,《པེ་》《སྣར་》,བར།,
,,181,3,《པེ་》《སྣར་》,གཅིག,
,34,182,1,《པེ་》《སྣར་》,འདི།,
,,183,2,《སྣར་》,mདག,
,,184,3,《པེ་》《སྣར་》,སྤྱད།,
,,185,4,《པེ་》《སྣར་》,པོ།,
,,186,5,《པེ་》《སྣར་》,mཆེས་ཤིན་ཏུ་རབ་ཏུ་ཉམས་སྟོབས་དང་ལྡན་པ།,
,35,187,1,《པེ་》《སྣར་》,བར།,
,,188,2,《པེ་》《སྣར་》,གཅིག,
,,189,3,《པེ་》《སྣར་》,ལོ།,
,,190,4,《པེ་》《སྣར་》,mཀྱི་རིགས།,
,36,191,1,《པེ་》《སྣར་》,དང་།,
,,192,2,《སྣར་》,pཉིད།,
,,193,3,《པེ་》《སྣར་》,pམི།,
,,194,4,《པེ་》《སྣར་》,བ།,
,,195,5,《པེ་》《སྣར་》,སློང་།,
,,196,6,《པེ་》《སྣར་》,pང་།,
,,197,7,《པེ་》《སྣར་》,mཔ་ཡང་དག་པར་རྫོགས།,
,37,198,1,《པེ་》《སྣར་》,གི་དད་པར།,
,,199,2,《པེ་》,གི།,《སྣར་》,གིས།
,,200,3,《པེ་》《སྣར་》,པའི།,
,,201,4,《པེ་》《སྣར་》,ནི།,
,,202,5,《སྣར་》,mབ།,
,,203,6,《པེ་》《སྣར་》,དེས།,
,,204,7,《པེ་》《སྣར་》,གིས།,
,,205,8,《པེ་》《སྣར་》,ནི།,
,,206,9,《པེ་》《སྣར་》,མེད།,
,,207,10,《པེ་》《སྣར་》,འགྱུར།,
,,208,11,《པེ་》《སྣར་》,པོར།,
,38,209,1,《པེ་》《སྣར་》,ཀྱི།,
,,210,2,《པེ་》《སྣར་》,བཤད་པས།,
,,211,3,《པེ་》《སྣར་》,སློང་།,
,,212,4,《པེ་》《སྣར་》,mདག,
,,213,5,《པེ་》《སྣར་》,ཀྱིས།,
,,214,6,《པེ་》《སྣར་》,གིས།,
,,215,7,《པེ་》《སྣར་》,ཀྱིས།,
,,216,8,《པེ་》《སྣར་》,mདང་།,
,39,217,1,《སྣར་》,འཚོལ།,
,,218,2,《པེ་》《སྣར་》,འགྲོན།,
,,219,3,《པེ་》《སྣར་》,གིས།,
,,220,4,《པེ་》《སྣར་》,འགྲོན།,
,,221,5,《པེ་》《སྣར་》,འགྲོན།,
,,222,6,《པེ་》《སྣར་》,pབདག་གིས་དེ་ལ་འདི་སྐད་དུ་སྨྲས་སོ།།,
,,223,7,《པེ་》《སྣར་》,འགྲོན།,
,,224,8,《པེ་》《སྣར་》,གྱིས།,
,40,225,1,《པེ་》《སྣར་》,ཆུང་།,
,,226,2,《པེ་》《སྣར་》,ཀྱི།,
,,227,3,《པེ་》《སྣར་》,པ།,
,,228,4,《པེ་》《སྣར་》,ཀྱི།,
,,229,5,《པེ་》《སྣར་》,ནམ་ཡང་།,
,,230,6,《པེ་》《སྣར་》,སློང་།,
,41,231,1,《པེ་》《སྣར་》,པོ།,
,,232,2,《པེ་》《སྣར་》,mགང་།,
,,233,3,《པེ་》《སྣར་》,རྟོག,
,,234,4,《པེ་》《སྣར་》,རྟོག,
,,235,5,《པེ་》《སྣར་》,བྱའོ།།,
,,236,6,《སྣར་》,བཅད།,
,,237,7,《པེ་》《སྣར་》,འཕངས།,
,,238,8,《པེ་》《སྣར་》,mབར་བྱ།,
,42,239,1,《པེ་》《སྣར་》,གིས།,
,,240,2,《སྣར་》,པར།,
,,241,3,《པེ་》《སྣར་》,སྙོམས།,
,,242,4,《སྣར་》,བཀུར།,
,,243,5,《པེ་》《སྣར་》,བསྡམས།,
,43,244,1,《པེ་》《སྣར་》,ཉམས།,
,,245,2,《པེ་》《སྣར་》,པོ་མ།,
,,246,3,《པེ་》《སྣར་》,གཅིག,
,,247,4,《པེ་》《སྣར་》,པོར།,
,,248,5,《པེ་》《སྣར་》,pདེ།,
,,249,6,《པེ་》《སྣར་》,mབྱེ་བ།,
,44,250,1,《པེ་》《སྣར་》,པ།,
,,251,2,《པེ་》《སྣར་》,ཁྱོད་ཀྱི་ལྟ།,
,,252,3,《པེ་》《སྣར་》,mདག,
,,253,4,《པེ་》,ཕྱེ།,《སྣར་》,བྱེ།
