             མཚན་བྱང་།,        ཤོག་གྲངས།,1,        མཆན་གྲངས།,             པར་མ།,                                                                          མཆན།,         པར་གྲངས།
བསྒོམ་ལམ་ཐ་མ།,158,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་རྫོགས་བྱང་ལས་བླངས་ཏེ་བཀོད་ཅིང་།《པེ་》《སྣར་》ལ་༄༅། །ཀ་མ་ལ་ཤཱི་ལས་མཛད་པའི་སྒོམ་རིམ་ཐ་མ་བཞུགས་སོ། །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,ནཱ།,
,,4,3,《པེ་》《སྣར་》,སྒོམ།,
,,5,4,《པེ་》《སྣར་》,པོའི།,
,,6,5,《པེ་》《སྣར་》,སྒོམ།,
,,7,6,《པེ་》《སྣར་》,༼མཐའ་དག,
,159,8,1,《པེ་》《སྣར་》,ནི་མུན་པ།,
,,9,2,《པེ་》《སྣར་》,རྟོག,
,,10,3,《པེ་》《སྣར་》,པས།,
,,11,4,《པེ་》《སྣར་》,༽ལ།,
,,12,5,《པེ་》《སྣར་》,གི།,
,,13,6,《པེ་》《སྣར་》,པའི།,
,,14,7,《པེ་》《སྣར་》,རྟོག,
,,15,8,《པེ་》《སྣར་》,ངོ་བོ།,
,,16,9,《པེ་》《སྣར་》,གཞན་གྱིས་གཟུགས་བརྙན།《ཅོ་》,བཞིན་གྱི་གཟུགས་བརྙན།
,,17,10,《པེ་》《སྣར་》,རྟོགས།,
,160,18,1,《པེ་》《སྣར་》,དེ་ནས།,
,,19,2,《པེ་》《སྣར་》,ཀྱི།,
,,20,3,《པེ་》《སྣར་》,༼ས།,
,,21,4,《པེ་》《སྣར་》,སྤང་བའི།,
,,22,5,《པེ་》《སྣར་》,༼ས་ལ།,
,,23,6,《པེ་》《སྣར་》,དེ།,
,,24,7,《པེ་》《སྣར་》,ཐོབ།,
,,25,8,《པེ་》《སྣར་》,པ།,
,,26,9,《པེ་》,ཉིད་ལ་མི་སྒོམ།《སྣར་》,ཉིད་ལ་མི་བསྒོམ།
,,27,10,《པེ་》《སྣར་》,རྟོག,
,,28,11,《པེ་》《སྣར་》,སྒྲུབ།,
,,29,12,《པེ་》《སྣར་》,༼སོགས་པ་ལ།《ཅོ་》,སོགས་ལ།
,,30,13,《པེ་》,སྐྱེད།,
,,31,14,《པེ་》《སྣར་》,གི།,
,161,32,1,《པེ་》《སྣར་》,༼གྱི།,
,,33,2,《པེ་》《སྣར་》,ཀྱི།,
,,34,3,《པེ་》《སྣར་》,༼ལ།,
,,35,4,《པེ་》《སྣར་》,བར་བྱས་ལ།,
,,36,5,《པེ་》《སྣར་》,འཛུམ།,
,,37,6,《པེ་》《སྣར་》,བསྟད།,
,,38,7,《པེ་》《སྣར་》,དགུ།,
,,39,8,《པེ་》《སྣར་》,གཡོ།,
,,40,9,《པེ་》《སྣར་》,ཡས།,
,,41,10,《པེ་》《སྣར་》,གཞག་གོ།,
,,42,11,《པེ་》《སྣར་》,༼གཏད་དེ།,
,,43,12,《པེ་》《སྣར་》,སྒྲུབ།,
,162,44,1,《པེ་》《སྣར་》,༼པ།,
,,45,2,《པེ་》,༼སྐུའི།,
,,46,3,《པེ་》,ཀྱི།,
,,47,4,《པེ་》《སྣར་》,ཀྱི།,
,,48,5,《པེ་》《སྣར་》,རྟོགས།,
,,49,6,《པེ་》《སྣར་》,༼ན།,
,,50,7,《པེ་》《སྣར་》,༼པའི།,
,163,51,1,《པེ་》《སྣར་》,རྟོག།,
,,52,2,《པེ་》《སྣར་》,༼བདག་དང་།,
,,53,3,《པེ་》《སྣར་》,༽ཉིད།,
,,54,4,《པེ་》《སྣར་》,དོ།། དེ་ནི།,
,,55,5,《པེ་》《སྣར་》,༽དེ།,
,,56,6,《པེ་》《སྣར་》,རྟགས།,
