མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,
འཕགས་པ་རྣམ་པར་མི་རྟོག་པར་འཇུག་པའི་གཟུངས་ཀྱི་རྒྱ་ཆེར་འགྲེལ་པ།,320,2,1,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 《པེ་》ལ་འཕགས་པ་རྣམ་པར་མི་རྟོག་པར་འཇུག་པའི་གཟུངས་ཀྱི་རྒྱ་ཆེར་འགྲེལ་པ་སློབ་དཔོན་ག་མ་ལ་ཤཱི་ལས་མཛད་བཞུགས། ཞེས་དང་། 《སྣར་》ལ་འཕགས་པ་རྣམ་པར་…...མཛད་པ་བཞུགས། ཝཱཾ །ཞེས་འཁོད།,
,,3,2,《པེ་》《སྣར་》,ཀ,
,,4,3,《ཅོ་》,གསལ།,
,,5,4,《སྣར་》,བྱེ།,
,,6,4,《པེ་》《སྣར་》,པར།,
,321,7,1,《པེ་》《སྣར་》,སྤོང་།,
,,8,2,《པེ་》《སྣར་》,འདིས།,
,,9,3,《པེ་》《སྣར་》,བསྒྲུབ།,
,,10,4,《པེ་》《སྣར་》,༼འཇུག་པ་ལ།,
,,11,5,《པེ་》《སྣར་》,དེ་ནས།,
,,12,6,《པེ་》《སྣར་》,༼དག,
,,13,7,《པེ་》《སྣར་》,པ་དག,
,,14,8,《སྣར་》,བཟུངས།,
,,15,9,《པེ་》《སྣར་》,ཅིང་།,
,322,16,1,《པེ་》,གསུངས།,
,,17,2,《པེ་》《སྣར་》,དེའི།,
,,18,3,《པེ་》《སྣར་》,གཞི།,
,,19,4,《པེ་》《སྣར་》,སྤོང་།,
,,20,5,《པེ་》《སྣར་》,གཞི།,
,323,21,1,《པེ་》《སྣར་》,པའི།,
,,22,2,《པེ་》,༼འདེབས།,
,,23,3,《པེ་》《སྣར་》,ཉན།,
,,24,4,《པེ་》《སྣར་》,བྱའོ།,
,,25,5,《པེ་》《སྣར་》,༽འདི་ལྟ་སྟེ་གཟུང་བའམ་འཛིན་པར་ཡང་རུང་།,
,,26,6,《པེ་》《སྣར་》,༽ཞེ་ན།,
,,27,7,《པེ་》《སྣར་》,པས།,
,,28,8,《པེ་》《སྣར་》,བྱ་བའི།,
,,29,9,《སྣར་》,རྟག,
,,30,10,《པེ་》《སྣར་》,༽ནི།,
,,31,11,《པེ་》《སྣར་》,བ།,
,,32,12,《པེ་》《སྣར་》,༽ནི།,
,324,33,1,《པེ་》,ཀྱི།,
,,34,2,《པེ་》《སྣར་》,ལས།,
,,35,3,《སྣར་》,བསྟན།,
,,36,4,《པེ་》《སྣར་》,འདི།,
,,37,5,《པེ་》《སྣར་》,འདིས།,
,,38,6,《པེ་》《སྣར་》,པ།,
,,39,7,《པེ་》《སྣར་》,ཐོས།,
,,40,8,《པེ་》《སྣར་》,༼བྱ་བ།,
,,41,9,《པེ་》《སྣར་》,པར།,
,325,42,1,《པེ་》《སྣར་》,བརྟན།,
,,43,2,《པེ་》,ཞེ།,《སྣར་》,རོ་ཞེས།
,,44,3,《པེ་》,ལས།,
,326,45,1,《སྣར་》,གསུངས།,
,,46,2,《པེ་》《སྣར་》,༽ན།,
,,47,3,《པེ་》《སྣར་》,ཀྱི།,
,,48,4,《པེ་》《སྣར་》,ན།,
,,49,5,《པེ་》《སྣར་》,པ།,
,327,50,1,《པེ་》《སྣར་》,སྨྲོས།,
,,51,2,《པེ་》《སྣར་》,བསྒྲུབས།,
,,52,3,《པེ་》《སྣར་》,གནང་།,
,,53,4,《སྣར་》,བཅེས།,
,,54,5,《ཅོ་》,དེར་ལན།,
,,55,6,《པེ་》《སྣར་》,གིས།,
,328,56,1,《པེ་》《སྣར་》,༽ཐོས་པར།,
,,57,2,《པེ་》,༼ན།,
,,58,3,《སྣར་》,བ།,
,,59,4,《སྣར་》,༼པ།,
,,60,5,《སྣར་》,གཙོས།,
,,61,6,《སྣར་》,༼ན།,
,329,62,1,《པེ་》《སྣར་》,ཞུགས།,
,,63,2,《པེ་》《སྣར་》,བཟང་།,
,,64,3,《སྣར་》,རྟོགས།,
,,65,4,《པེ་》《སྣར་》,པོ་དེ།,
,,66,5,《པེ་》《སྣར་》,དེའི།,
,,67,6,《པེ་》《སྣར་》,ཀྱིས།,
,330,68,1,《པེ་》《སྣར་》,༽འདི།,
,,69,2,《པེ་》《སྣར་》,ཏེ།,
,,70,3,《པེ་》《སྣར་》,༼དང་།,
,,71,4,《པེ་》《སྣར་》,པས།,
,,72,5,《པེ་》《སྣར་》,ཏེ།,
,,73,6,《པེ་》《སྣར་》,དཀྲོལ།,
,,74,7,《པེ་》,པ་མེད་ཏུ།,
,,75,8,《པེ་》《སྣར་》,པ།,
,,76,9,《སྣར་》,སྙོམ།,
,,77,10,《པེ་》《སྣར་》,ཙམ།,
,,78,11,《པེ་》《སྣར་》,སྙོམས།,
,331,79,1,《པེ་》《སྣར་》,ཀྱིས།,
,,80,2,《སྣར་》,པར།,
,,81,3,《པེ་》,གྱི།,
,,82,4,《པེ་》《སྣར་》,གོ།,
,,83,5,《པེ་》《སྣར་》,གཉི་ག,
,,84,6,《པེ་》《སྣར་》,བསླུ།,
,332,85,1,《པེ་》《སྣར་》,ན།,
,,86,2,《པེ་》《སྣར་》,གཅིག་ཅེས།,
,,87,3,《པེ་》《སྣར་》,༽ལ།,
,,88,4,《པེ་》《སྣར་》,པས།,
,,89,5,《པེ་》《སྣར་》,ཀྱིས།,
,,90,6,《པེ་》,༼ལ།,
,,91,7,《པེ་》《སྣར་》,སྡེ།,
,,92,8,《པེ་》《སྣར་》,ཆེད་དུ།,
,,93,9,《པེ་》《སྣར་》,༽ཆེན་པོ།,
,333,94,1,《པེ་》《སྣར་》,བརྩམས།,
,,95,2,《པེ་》《སྣར་》《ཅོ་》,རྟོགས།,
,334,96,1,《སྣར་》,གའི།,
,,97,2,《པེ་》《སྣར་》,༽མི།,
,,98,3,《པེ་》《སྣར་》,བས།,
,,99,4,《པེ་》《སྣར་》,བས།,
,335,100,1,《པེ་》《སྣར་》,ཀྱི།,
,,101,2,《པེ་》,།། །།,
,,102,3,《པེ་》《སྣར་》,བས།,
,,103,4,《པེ་》《སྣར་》,༽སམ།,
,,104,5,《པེ་》《སྣར་》,ཕྱད།,
,,105,6,《པེ་》《སྣར་》,གྱི།,
,,106,7,《པེ་》,འཛིན།,
,,107,8,《པེ་》《སྣར་》,ཞིག,
,,108,9,《པེ་》《སྣར་》,སྒྲུབ།,
,336,109,1,《སྣར་》,ཀྱིས།,
,,110,2,《པེ་》《སྣར་》,ནི།,
,,111,3,《པེ་》《སྣར་》,འདས་འཆད།,
,,112,4,《སྣར་》,པར།,
,,113,5,《པེ་》《སྣར་》,ཅིག,
,,114,6,《པེ་》《སྣར་》,སྒོམ།,
,337,115,1,《པེ་》,གསུངས།,
,,116,2,《པེ་》《སྣར་》,བསྒྲུབས།,
,,117,3,《པེ་》《སྣར་》,པ།,
,,118,4,《པེ་》《སྣར་》,མི།,
,,119,5,《པེ་》《སྣར་》,ཞིག,
,,120,6,《པེ་》《སྣར་》,༼འཇུག,
,,121,7,《སྣར་》,ཁ།,
,,122,8,《པེ་》《སྣར་》,ཁ།,
,,123,9,《སྣར་》,གཟུངས།,
,338,124,1,《པེ་》,མི་རྟོགས།,《སྣར་》,མ་རྟོགས།
,,125,2,《པེ་》《སྣར་》,༼ཉིད།,
,339,126,1,《པེ་》《སྣར་》,བསམ།,
,,127,2,《པེ་》《སྣར་》,༼རབ།,
,,128,3,《པེ་》《སྣར་》,བརྟན།,
,,129,4,《པེ་》《སྣར་》,བརྟན།,
,,130,5,《ཅོ་》,པར།,
,,131,6,《སྣར་》,བསམས།,
,,132,7,《པེ་》《སྣར་》,སྒོམ།,
,,133,8,《པེ་》《སྣར་》,༽གཉེན་པོ་ལ་དམིགས་པའི་མཚན་མ་དང་།,
,,134,9,《པེ་》《སྣར་》,བསྒོམས།,
,,135,10,《པེ་》《སྣར་》,རིམས་སུ།,
,340,136,1,《པེ་》《སྣར་》,བཞུགས།,
,,137,2,《པེ་》《སྣར་》,གྱིས།,
,,138,3,《པེ་》《སྣར་》,བསལ།,
,,139,4,《པེ་》《སྣར་》,༽མི།,
,,140,5,《སྣར་》,༼ལྟ།,
,341,141,1,《པེ་》《སྣར་》《ཅོ་》,གྱི།,
,,142,2,《པེ་》《སྣར་》,རྫུན།,
,,143,3,《པེ་》《སྣར་》,སོ།,
,,144,4,《སྣར་》,༽ཚེ།,
,,145,5,《པེ་》《སྣར་》,༼བ།,
,342,146,1,《པེ་》,༼པ།,
,,147,2,《པེ་》《སྣར་》,སྒོམ།,
,,148,3,《སྣར་》,སྒའི།,
,,149,4,《པེ་》《སྣར་》,༽པ།,
,,150,5,《པེ་》《སྣར་》,༽ན།,
,,151,6,《པེ་》,འཆད།,
,343,152,1,《པེ་》《སྣར་》,བསྲུངས་ཏེ།,
,,153,2,《པེ་》《སྣར་》,པ།,
,,154,3,《པེ་》《སྣར་》,སྒོམ།,
,,155,4,《སྣར་》,བསམས།,
,,156,5,《སྣར་》,འདོར།,
,,157,6,《པེ་》,ཏེ།,
,,158,7,《པེ་》《སྣར་》,༽དབྱིངས།,
,344,159,1,《སྣར་》,འོ།,
,,160,2,《པེ་》《སྣར་》,དག,
,,161,3,《པེ་》《སྣར་》,པ་ནི།,
,,162,4,《པེ་》《སྣར་》,ཅིས་སྤང་།,
,,163,5,《སྣར་》,༽བྱ་བ།,
,,164,6,《པེ་》《སྣར་》,༽ལ།,
,345,165,1,《པེ་》《སྣར་》,༼གཞན་དག་ལ།,
,,166,2,《པེ་》《སྣར་》,ཀྱི།,
,,167,3,《པེ་》《སྣར་》,མཆེད།,
,,168,4,《པེ་》《སྣར་》,བའོ།,
,,169,5,《པེ་》《སྣར་》,ཀྱིས།,
,,170,6,《པེ་》《སྣར་》,དཔྱོད།,
