མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,པར་གྲངས།,,,,
༄༅། །གཏན་ཚིགས་ཀྱི་འཁོར་ལོ་གཏན་ལ་དབབ་པ།,465,2,1,《པེ་》《སྣར་》,ཕྱོགས་ཆོས་དགུའི་འཁོར་ལོ་བཞུགས་སོ། །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང། 
,,3,2,《པེ་》《སྣར་》,p༄། །སྒྲ་ནི་རྟག་སྟེ་གཞལ་བྱ་ཡིན་པའི་ཕྱིར་ནམ་མཁའ་བཞིན་དང་བུམ་པ་བཞིན་ནོ། །མཐུན་པའི་ཕྱོགས་ཐམས་ཅད་ལ་ཡོད་དོ། །དངོས་ཀྱི་མ་ངེས་པ་ཡིན་པར་བཤད། ༅། །སྒྲ་ནི་མི་རྟག་སྟེ་བྱས་པའི་ཕྱིར་བུམ་པ་དང་ནམ་མཁའ་བཞོིན་མཐུན་ཕྱོགས་ལ་ཡོད་མི་མཐུན་ཕྱོགས་ལ་མེད་རྟགས་ཡང་དག་ཡིན་ནོ་ཨང། ༅། །སྒྲ་ནི་རྟག་སྟེ་མཉན་བྱ་ཡིན་པའི་ཕྱིར་ནམ་མཁའ་བཞིན་ནོ་མཐུན་པའི་ཕྱོགས་ལ་མེད་མི་མཐུན་པའི་ཕྱོགས་ལ་ཡོད་ཐུན་མོང་མ་ཡིན་པའི་གཏན་ཚིགས་སོ། །༅། །སྒྲ་ནི་རྟག་སྟེ་རྩོལ་བ་ལས་བྱུང་བའི་ཕྱིར་བུམ་པ་གློག་དང་ནམ་མཁའ་བཞིན། མཐུན་པའི་ཕྱོགས་གཉིས་ཀ་མི་མཐུན་པའི་ཕྱོགས་ལ་མེད་ཡང་དག་གོ །༅། སྒྲ་ནི་རྟག་སྟེ་བྱས་པའི་ཕྱིར་ནམ་མཁའ་བཞིན་དང་བུམ་པ་བཞིན་ནོ། །མཐུན་པའི་ཕྱོགས་ལ་མེད་མི་མཐུན་པའི་ཕྱོགས་ལ་ཡོད་འགལ་བའི་གཏན་ཚིགས་ཡིན་པར་བཤད། ༅། །སྒྲ་ནི་རྩོལ་བ་ལས་བྱུང་སྟེ་མི་རྟག་པའི་ཕྱིར་གློག་བཞིན་དང་ནམ་མཁའ་བུམ་པ་བཞིན་མཐུན་པའི་ཕྱོགས་ལ་གཉིས་ཀའི་མཐུན་པའི་ཕྱོགས་ཐམས་ཅད་ལ་ཡོད་དེ་དངོས་ཀྱིའོ། །༄། །སྒྲ་ནི་མི་རྟག་སྟེ་བྱས་པའི་ཕྱིར་བུམ་པ་དང་ནམ་མཁའ་བཞིན་མཐུན་ཕྱོགས་ལ་ཡོད་མི་མཐུན་ཕྱོགས་ལ་མེད་རྟགས་ཡང་དག་ཡིན་ནོ་ཨང།༄། །སྒྲ་ནི་རྟག་སྟེ་མཉན་བྱ་ཡིན་པའི་ཕྱིར་ནམ་མཁའ་བཞིན་ནོ་མཐུན་པའི་ཕྱོགས་ལ་མེད་མི་མཐུན་པའི་ཕྱོགས་ལ་ཡོད་ཐུན་མོང་མ་ཡིན་པའི་གཏན་ཚིགས་སོ། །༄། །སྒྲ་ནི་རྟག་སྟེ་རྩོལ་བ་ལས་བྱུང་བའི་ཕྱིར་བུམ་པ་གློག་དང་ནམ་མཁའ་བཞིན་མཐུན་པའི་ཕྱོགས་གཉིས་ཀ་མི་མཐུན་པའི་ཕྱོགས་ལ་མེད་ཡང་དག་གོ། །༅། །སྒྲ་ནི་རྩོལ་བ་ལས་བྱུང་སྟེ། མི་རྟག་པའི་ཕྱིར་བུམ་པ་དང་གློག་དང་ནམ་མཁའ་བཞིན་མཐུན་པའི་ཕྱོགས་ཐམས་ཅད་ལ་ཡོད་མི་མཐུན་པའི་ཕྱོགས་གཉིས་ཀ་དངོས་ཀྱི་མེད་པ་ཡིན་པར་བཤད། ༅། །སྒྲ་ནི་རྟག་སྟེ་རྩོལ་བ་ལས་བྱུང་བའི་ཕྱིར་ནམ་མཁའ་བཞིན་དང་བུམ་པ་དང་གློག་བཞིན་ནོ། །འགལ་བའི་གཏན་ཚིགས་ཡིན་པར་བཤད། ༅། སྒྲ་ནི་རྟག་སྟེ་ལུས་ཅན་མ་ཡིན་པའི་ནམ་མཁའ་དང་རྡུལ་ཕྲན་དང་ལས་དང་བུམ་པ་བཞིན་མཐུན་པའི་ཕྱོགས་གཉིས་ཀ་མི་མཐུན་པའི་ཕྱོགས་ལ་དངོས་གཉིས་ཀྱིའོ། །,,,,,
,,4,3,《པེ་》《སྣར་》,མ་རུ།,,,,,
,,5,4,《པེ་》《སྣར་》,ཁོ་བོ།,,,,,
,,6,5,《པེ་》《སྣར་》,ཡིན་ཏེ།,,,,,
,,7,6,《པེ་》《སྣར་》,ཡིན།,,,,,
,466,8,1,《པེ་》《སྣར་》,ལས་མིན་རྟག,,,,,
,,9,2,《སྣར་》,རྩོལ།,,,,,
,,10,3,《པེ་》《སྣར་》,རྟག,,,,,
,,11,4,《པེ་》《སྣར་》,ཐད་དང།,,,,,
