མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
༄༅། །གཏན་ཚིགས་ཀྱི་ཐིགས་པ་ཞེས་བྱ་བའི་རབ་ཏུ་བྱེད་པ།,832,2,1,《པེ་》《སྣར་》,གཏན་ཚིགས་ཐིགས་པ་བཞུགས་སོ། །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་། 
,,3,2,《པེ་》,བིནྟུ།,,,,,
,,4,3,《པེ་》《སྣར་》,སངས་རྒྱས།,,,,,
,,5,4,《པེ་》《སྣར་》,ཡི།,,,,,
,,6,5,《པེ་》《སྣར་》,བཏགས།,,,,,
,,7,6,《པེ་》,གཏགས།,,,,,
,,8,7,《པེ་》,གཏགས།,,,,,
,,9,8,《པེ་》《སྣར་》,mབྱ་བ་ཡིན་པའི་ཕྱིར་རོ་ཞེས།,,,,,
,833,10,1,《པེ་》《སྣར་》,རྟེན།,,,,,
,,11,2,《པེ་》《སྣར་》,ཆོས་བརྗོད་པས་ཀྱང་རྟེན།,,,,,
,,12,3,《པེ་》《སྣར་》,ཆས།,,,,,
,,13,4,《པེ་》《སྣར་》,འགྲུབ།,,,,,
,,14,5,《པེ་》《སྣར་》,mཅན།,,,,,
,,15,6,《པེ་》《སྣར་》,mམེད་པ་ལ།,,,,,
,,16,7,《པེ་》《སྣར་》,ཆས།,,,,,
,,17,8,《པེ་》《སྣར་》,mཅན།,,,,,
,,18,9,《པེ་》《སྣར་》,pགྱི་ཆོས།,,,,,
,,19,10,《པེ་》《སྣར་》,pལྟ།,,,,,
,,20,11,《པེ་》《སྣར་》,བཏགས།,,,,,
,,21,12,《པེ་》《སྣར་》,ལྟོག,,,,,
,,22,13,《པེ་》《སྣར་》,ཆས།,,,,,
,,23,14,《པེ་》《སྣར་》,པའི།,,,,,
,,24,15,《པེ་》《སྣར་》,mཁོ་ན།,,,,,
,,25,16,《སྣར་》,པར།,,,,,
,,26,17,《པེ་》《སྣར་》,ལྡོག་པ།,,,,,
,834,27,1,《པེ་》《སྣར་》,གྱི།,,,,,
,,28,2,《པེ་》,ཐར་པ་མངོན་པར།,《སྣར་》,ཐག་པ་མངོན་པ།,,,
,,29,3,《པེ་》《སྣར་》,དང་།,,,,,
,,30,4,《པེ་》《སྣར་》,བཞིན་དུ།,,,,,
,,31,5,《པེ་》《སྣར་》,བ། སྤྱིའི།,,,,,
,835,32,1,《པེ་》《སྣར་》,པོའི།,,,,,
,,33,2,《སྣར་》,mན།,,,,,
,,34,3,《པེ་》《སྣར་》,mནི།,,,,,
,,35,4,《སྣར་》,pརྟོགས་པ།,,,,,
,,36,5,《པེ་》,བརྟེན་པ་ཅན།,《སྣར་》,རྟེན་པ་ཅན།,,,
,,37,6,《པེ་》,pཉིད།,,,,,
,,38,7,《སྣར་》,རྟོགས།,,,,,
,,39,8,《པེ་》《སྣར་》,pསུམ།,,,,,
,,40,9,《པེ་》《སྣར་》,པར།,,,,,
,,41,10,《པེ་》《སྣར་》,pཐ།,,,,,
,,42,11,《པེ་》《སྣར་》,དོ།,,,,,
,,43,12,《པེ་》《སྣར་》,འདི།,,,,,
,,44,13,《སྣར་》,རྟོགས།,,,,,
,,45,14,《པེ་》《སྣར་》,བྱུང་།,,,,,
,,46,15,《པེ་》《སྣར་》,mནི།,,,,,
,836,47,1,《པེ་》,འབྲེལ་པར་འགྲུབ།,《སྣར་》,འགྲེལ་པར་གྲུབ།,,,
,,48,2,《པེ་》,གྱིས།,,,,,
,,49,3,《པེ་》《སྣར་》,mཔོ།,,,,,
,,50,4,《པེ་》《སྣར་》,དོ།།,,,,,
,,51,5,《པེ་》,མ།,,,,,
,,52,6,《པེ་》《སྣར་》,གི།,,,,,
,,53,7,《པེ་》《སྣར་》,pནི།,,,,,
,,54,8,《པེ་》,མེད་པར་གྲུབ་པའི།,《སྣར་》,མེད་པར་གྲུབ་པོའོ།,,,
,,55,9,《པེ་》《སྣར་》,mམ།,,,,,
,,56,10,《སྣར་》,ས།,,,,,
,,57,11,《པེ་》《སྣར་》,mཏེ།,,,,,
,837,58,1,《པེ་》《སྣར་》,ལ།,,,,,
,,59,2,《སྣར་》,མ།,,,,,
,,60,3,《པེ་》《སྣར་》,mདེ།,,,,,
,,61,4,《པེ་》《སྣར་》,pཔོ།,,,,,
,,62,5,《པེ་》《སྣར་》,གཞན་ལ།,,,,,
,,63,6,《པེ་》,ཙམ་ནི།,《སྣར་》,ཅན་ན།,,,
,,64,7,《པེ་》《སྣར་》,ནར།,,,,,
,,65,8,《སྣར་》,གྱི།,,,,,
,,66,9,《པེ་》《སྣར་》,pགྱི།,,,,,
,,67,10,《པེ་》《སྣར་》,pདང་།,,,,,
,,68,11,《པེ་》《སྣར་》,mཉིད།,,,,,
,,69,12,《པེ་》《སྣར་》,དེ།,,,,,
,,70,13,《པེ་》《སྣར་》,ཅན་ཉིད།,,,,,
,,71,14,《པེ་》《སྣར་》,ཉིད།,,,,,
,838,72,1,《པེ་》《སྣར་》,བ་དང་།,,,,,
,,73,2,《པེ་》《སྣར་》,གྱི།,,,,,
,,74,3,《པེ་》《སྣར་》,སྔར།,,,,,
,,75,4,《པེ་》《སྣར་》,གཏོགས།,,,,,
,,76,5,《པེ་》《སྣར་》,mནི།,,,,,
