མཚན་བྱངས།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,555,2,1,《སྡེ་》《ཅོ་》,དབུ་མ་ལ་འཇུག་པ་ཞེས་བྱ་བ་བཞུགས་སོ།།,《པེ་》《སྣར་》,དབུ་མ་འཇུག་པ་བཞུགས་སོ། །
,,2,2,《པེ་》《སྣར་》,མ་ཀཱ།,,,,,,,,
,,3,3,《པེ་》《སྣར་》《ཅོ་》,ཅིང།,,,,,,,,
,,4,4,《པེ་》《སྣར་》,གིས།,,,,,,,,
,556,5,1,《པེ་》《སྣར་》,ཅིང།,,,,,,,,
,,6,2,《པེ་》《སྣར་》,མ།,,,,,,,,
,,7,3,《པེ་》《སྣར་》,གིས།,,,,,,,,
,557,8,1,《པེ་》《སྣར་》,ཅིག,,,,,,,,
,,9,2,《པེ་》《སྣར་》,དེ།,,,,,,,,
,,10,3,《པེ་》《སྣར་》,པ།,,,,,,,,
,,11,4,《པེ་》《སྣར་》,སྙེད།,,,,,,,,
,,12,5,《པེ་》《སྣར་》,གསོག,,,,,,,,
,558,13,1,《པེ་》《སྣར་》,སྐྱེད།,,,,,,,,
,,14,2,《སྣར་》,པར།,,,,,,,,
,,15,3,《པེ་》,རྒྱུའི།,,,,,,,,
,559,16,1,《པེ་》《སྣར་》,ཀུན།,,,,,,,,
,,17,2,《སྣར་》,བསྙན།,,,,,,,,
,,18,3,《པེ་》《སྣར་》,དཀོན།,,,,,,,,
,,19,4,《པེ་》《སྣར་》,དེའི།,,,,,,,,
,,20,5,《པེ་》《སྣར་》,ཡང།,,,,,,,,
,,21,6,《པེ་》《སྣར་》,ཁྲིད།,,,,,,,,
,,22,7,《པེ་》《སྣར་》,པ།,,,,,,,,
,560,23,1,《པེ་》,རིགས།,,,,,,,,
,,24,2,《པེ་》《སྣར་》,ཅེས།,,,,,,,,
,,25,3,《སྣར་》,འགྱུར་བ།,,,,,,,,
,,26,4,《པེ་》《སྣར་》,འགྲོ།,,,,,,,,
,,27,5,《པེ་》《སྣར་》,བསྒོམ།,,,,,,,,
,,28,6,《པེ་》《སྣར་》,འགྲེལ།,,,,,,,,
,561,29,1,《པེ་》《སྣར་》,འདི་བརྟེན།,,,,,,,,
,,30,2,《པེ་》《སྣར་》,ཁྲིད།,,,,,,,,
,,31,3,《པེ་》《སྣར་》,བསྟེན།,,,,,,,,
,562,32,1,《པེ་》《སྣར་》,བྱུང།,,,,,,,,
,,33,2,《པེ་》《སྣར་》,ང་།,,,,,,,,
,563,34,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,,,
,,35,2,《པེ་》《སྣར་》,པ།,,,,,,,,
,,36,3,《པེ་》《སྣར་》,ས།,,,,,,,,
,,37,4,《པེ་》《སྣར་》,ས།,,,,,,,,
,,38,5,《པེ་》《སྣར་》,ས།,,,,,,,,
,,39,6,《པེ་》《སྣར་》,ནི།,,,,,,,,
,,40,7,《པེ་》《སྣར་》,ཡོད།,,,,,,,,
,,41,8,《པེ་》《སྣར་》,པ།,,,,,,,,
,564,42,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,,,
,,43,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,,,
,,44,3,《པེ་》《སྣར་》,རིགས།,,,,,,,,
,,45,4,《པེ་》《སྣར་》,རྫུན།,,,,,,,,
,,46,5,《པེ་》《སྣར་》,རྫུན།,,,,,,,,
,,47,6,《པེ་》《སྣར་》,རྫུན།,,,,,,,,
,,48,7,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,,,
,,49,8,《པེ་》《སྣར་》,ཡང།,,,,,,,,
,,50,9,《སྣར་》,མིན།,,,,,,,,
,,51,10,《པེ་》《སྣར་》,བཅོམ།,,,,,,,,
,565,52,1,《པེ་》《སྣར་》,གྱི།,,,,,,,,
,,53,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,,,
,,54,3,《པེ་》《སྣར་》,གཙུགས།,,,,,,,,
,,55,4,《སྣར་》,རྟོགས།,,,,,,,,
,,56,5,《སྣར་》,བྱུང་ལ།,,,,,,,,
,,57,6,《པེ་》《སྣར་》,ལ།,,,,,,,,
,,58,7,《པེ་》《སྣར་》,པ།,,,,,,,,
,566,59,1,《པེ་》《སྣར་》,ཡོད།,,,,,,,,
,,60,2,《པེ་》《སྣར་》,པ།,,,,,,,,
,,61,3,《སྣར་》,རིགས།,,,,,,,,
,567,62,1,《སྣར་》,pཔོ།,,,,,,,,
,,63,2,《པེ་》《སྣར་》,ན།,,,,,,,,
,,64,3,《ཅོ་》,ཉིད།,,,,,,,,
,,65,4,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,,,
,,66,5,《པེ་》《སྣར་》,རྫུན།,,,,,,,,
,,67,6,《པེ་》《སྣར་》,རྫུན།,,,,,,,,
,,68,7,《པེ་》《སྣར་》,མ།,,,,,,,,
,,69,8,《པེ་》《སྣར་》,རྫུན།,,,,,,,,
,568,70,1,《པེ་》《སྣར་》,རྒྱུ།,,,,,,,,
,,71,2,《པེ་》《སྣར་》,ནི།,,,,,,,,
,,72,3,《པེ་》《སྣར་》,ཀྱི།,,,,,,,,
,,73,4,《སྣར་》,དག,,,,,,,,
,,74,5,《སྣར་》,འོག,,,,,,,,
,,75,6,《པེ་》《སྣར་》,གཟུང།,,,,,,,,
,569,76,1,《པེ་》《སྣར་》,ལྟར།,,,,,,,,
,,77,2,《པེ་》《སྣར་》,རྫུན།,,,,,,,,
,,78,3,《པེ་》《སྣར་》,པར།,,,,,,,,
,,79,4,《པེ་》《སྣར་》,འགྱུར།,,,,,,,,
,,80,5,《པེ་》《སྣར་》,རྫུན།,,,,,,,,
,,81,6,《པེ་》《སྣར་》,པ།,,,,,,,,
,,82,7,《པེ་》《སྣར་》,གྲུབ།,,,,,,,,
,,83,8,《སྣར་》,བསྒྲུབས།,,,,,,,,
,570,84,1,《པེ་》《སྣར་》,གི།,,,,,,,,
,,85,2,《པེ་》《སྣར་》,པར།,,,,,,,,
,,86,3,《པེ་》《སྣར་》,ལ།,,,,,,,,
,,87,4,《སྣར་》,pགང།,,,,,,,,
,,88,5,《པེ་》,ཀྱི།,,,,,,,,
,572,89,1,《པེ་》《སྣར་》,ཅིག,,,,,,,,
,,90,2,《པེ་》《སྣར་》,ཉིད།,,,,,,,,
,,91,3,《པེ་》《སྣར་》,ཅིག,,,,,,,,
,,92,4,《པེ་》《སྣར་》,འདོད།,,,,,,,,
,,93,5,《པེ་》《སྣར་》,གླག,,,,,,,,
,,94,6,《པེ་》《སྣར་》,ལམ།,,,,,,,,
,573,95,1,《པེ་》《སྣར་》,ཡིན་དེའི།,,,,,,,,
,,96,2,《པེ་》《སྣར་》,དམ།,,,,,,,,
,,97,3,《པེ་》,ལོགས།,,,,,,,,
,,98,4,《པེ་》《སྣར་》,ལ།,,,,,,,,
,,99,5,《པེ་》《སྣར་》,རྟོག,,,,,,,,
,574,100,1,《པེ་》《སྣར་》,སྨྲ།,,,,,,,,
,,101,2,《པེ་》,འགྱུར་ལ།,《སྣར་》,གྱུར་ལ།,,,,,,
,,102,3,《པེ་》《སྣར་》,བ།,,,,,,,,
,,103,4,《པེ་》《སྣར་》,འགྱུར།,,,,,,,,
,,104,5,《པེ་》《སྣར་》,རྒྱུད།,,,,,,,,
,575,105,1,《པེ་》《སྣར་》,བརྟེན།,,,,,,,,
,,106,2,《པེ་》《སྣར་》,རྟོག,,,,,,,,
,,107,3,《པེ་》《སྣར་》,འབྱུང།,,,,,,,,
,,108,4,《པེ་》《སྣར་》,ཅིང།,,,,,,,,
,,109,5,《པེ་》《སྣར་》,བྱད།,,,,,,,,
,,110,6,《པེ་》《སྣར་》,དོ།,,,,,,,,
,576,111,1,《པེ་》《སྣར་》,འགྲོར།,,,,,,,,
,,112,2,《པེ་》《སྣར་》,རྐྱལ།,,,,,,,,
,,113,3,《པེ་》《སྣར་》,དེ།,,,,,,,,
,,114,4,《པེ་》《སྣར་》,སྤང།,,,,,,,,
,577,115,1,《པེ་》《སྣར་》,ཞེ།,,,,,,,,
,,116,2,《པེ་》《སྣར་》,ཚུགས།,,,,,,,,
,,117,3,《པེ་》《སྣར་》,པོར།,,,,,,,,
,,118,4,《པེ་》《སྣར་》,བསྟན།,,,,,,,,
,,119,5,《པེ་》《སྣར་》,གྱིས།,,,,,,,,
,579,120,1,《པེ་》《སྣར་》,མ་ཡིན།,,,,,,,,
,,121,2,《པེ་》《སྣར་》,དུ།,,,,,,,,
,,122,3,《པེ་》《སྣར་》,ལས།,,,,,,,,
,580,123,1,《པེ་》《སྣར་》,རྨིན།,,,,,,,,
,,124,2,《པེ་》,བརྟན་མིང།,《སྣར་》,བརྟེན་མིང།,,,,,,
,,125,3,《པེ་》《སྣར་》,མེད།,,,,,,,,
,,126,4,《པེ་》《སྣར་》,ལ།,,,,,,,,
,,127,5,《པེ་》《སྣར་》,རྟགས།,,,,,,,,
,,128,6,《པེ་》《སྣར་》,བསྙེད།,,,,,,,,
,581,129,1,《པེ་》《སྣར་》,བསྐྱེད།,,,,,,,,
,,130,2,《པེ་》《སྣར་》,ན།,,,,,,,,
,,131,3,《པེ་》《སྣར་》,མི།,,,,,,,,
,582,132,1,《སྣར་》,བྱར།,,,,,,,,
,,133,2,《པེ་》《སྣར་》,པོར།,,,,,,,,
,,134,3,《སྣར་》,གཞུགས།,,,,,,,,
,,135,4,《པེ་》《སྣར་》,ནུས།,,,,,,,,
,,136,5,《པེ་》《སྣར་》,mལ་དེ།,,,,,,,,
,,137,6,《པེ་》《སྣར་》,བཅོལ།,,,,,,,,
,,138,7,《སྣར་》,pཔར།,,,,,,,,
,,139,8,《པེ་》《སྣར་》,རྣམ།,,,,,,,,
,,140,9,《པེ་》《སྣར་》,བ།,,,,,,,,
,,141,10,《སྣར་》,མེད།,,,,,,,,
,583,142,1,《སྣར་》,ཞེས།,,,,,,,,
,,143,2,《པེ་》《སྣར་》,གཞིར།,,,,,,,,
,,144,3,《པེ་》《སྣར་》,ཀྱང།,,,,,,,,
,,145,4,《པེ་》《སྣར་》,ཞེས།,,,,,,,,
,,146,5,《སྣར་》,དོ།,,,,,,,,
,,147,6,《པེ་》《སྣར་》,པ།,,,,,,,,
,584,148,1,《པེ་》《སྣར་》,ཡི།,,,,,,,,
,,149,2,《པེ་》,mདེ།,,,,,,,,
,,150,3,《པེ་》《སྣར་》,ཞེས།,,,,,,,,
,,151,4,《ཅོ་》,དོན།,,,,,,,,
,585,152,1,《པེ་》《སྣར་》,འཁྲུགས།,,,,,,,,
,,153,2,《པེ་》《སྣར་》,ནི།,,,,,,,,
,,154,3,《པེ་》《སྣར་》,ཤེས།,,,,,,,,
,586,155,1,《པེ་》《སྣར་》,སྟོན།,,,,,,,,
,,156,2,《པེ་》《སྣར་》,དེ་དེ།,,,,,,,,
,,157,3,《པེ་》,མི་འཇིགས་མིན་པ།,《སྣར་》,མི་འཇིག་མིན་པ།,,,,,,
,,158,4,《པེ་》《སྣར་》,གཞན།,,,,,,,,
,587,159,1,《པེ་》《སྣར་》,འགྱུར།,,,,,,,,
,588,160,1,《སྣར་》,བ་འགྱུར་བའང།,,,,,,,,
,,161,2,《པེ་》《སྣར་》,གྱིས།,,,,,,,,
,589,162,1,《པེ་》,mཕྲག,,,,,,,,
,,163,2,《པེ་》《སྣར་》,བསྒྱུར།,,,,,,,,
,,164,3,《པེ་》《སྣར་》,ཅིང།,,,,,,,,
,590,165,1,《པེ་》《སྣར་》,པ།,,,,,,,,
,,166,2,《པེ་》,རིག་པའང།,《སྣར་》,རིགས་ཀྱང་།,,,,,,
,,167,3,《པེ་》《སྣར་》,བསྟེན།,,,,,,,,
,,168,4,《པེ་》《སྣར་》,རིགས།,,,,,,,,
,591,169,1,《པེ་》《སྣར་》,ཅིང།,,,,,,,,
,,170,2,《པེ་》《སྣར་》,གུལ།,,,,,,,,
,592,171,1,《པེ་》《སྣར་》,རྣམས།,,,,,,,,
,,172,2,《པེ་》《སྣར་》,ཟློག,,,,,,,,
,,173,3,《པེ་》《སྣར་》,མི།,,,,,,,,
,,174,4,《པེ་》《སྣར་》,ཟས།,,,,,,,,
,,175,5,《པེ་》《སྣར་》,ལའང།,,,,,,,,
,,176,6,《པེ་》《སྣར་》,ཞེས།,,,,,,,,
,,177,7,《པེ་》《སྣར་》,ཀྱི།,,,,,,,,
,593,178,1,《སྣར་》,རྟོགས།,,,,,,,,
,,179,2,《པེ་》《སྣར་》,མཐར་བརྒྱད།,,,,,,,,
,,180,3,《པེ་》《སྣར་》,དང།,,,,,,,,
,,181,4,《པེ་》《སྣར་》,བཞིར།,,,,,,,,
,,182,5,《པེ་》《སྣར་》,མཁའི།,,,,,,,,
,,183,6,《སྣར་》,pམ།,,,,,,,,
,,184,7,《པེ་》《སྣར་》,འདིར།,,,,,,,,
,594,185,1,《པེ་》《སྣར་》,ཐོབ།,,,,,,,,
,,186,2,《པེ་》《སྣར་》,ཁྱེད།,,,,,,,,
,,187,3,《པེ་》,ཞབས།,,,,,,,,
,,188,4,《པེ་》《སྣར་》,པ།,,,,,,,,
,,189,5,《པེ་》《སྣར་》,ཞིང།,,,,,,,,
,595,190,1,《སྣར་》,pན།,,,,,,,,
,,191,2,《སྣར་》,རྗེའི་ཁྱོད་ལུགས།,,,,,,,,
,,192,3,《སྣར་》,mན།,,,,,,,,
,,193,4,《པེ་》《སྣར་》,ད།,,,,,,,,
,596,194,1,《པེ་》《སྣར་》,ཀྱིས།,,,,,,,,
,,195,2,《པེ་》《སྣར་》,བདེར།,,,,,,,,
,,196,3,《པེ་》《སྣར་》,བསལ།,,,,,,,,
,,197,4,《པེ་》,pམ།,,,,,,,,
,,198,5,《པེ་》《སྣར་》,ལོ་ཙཱ།,,,,,,,,
