མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,,
༄༅། །བསླབ་པ་ཀུན་ལས་བཏུས་པ།,1009,2,1,《པེ་》《སྣར་》,བསླབ་པ་ཀུན་ལས་བཏུས་པ་ཞི་བ་ལྷས་མཛད་པ་ཞུགས་སོ། །,,,,,མཚན་བྱང་འདི་ཆོས་ཚན་འདིའི་མཚན་བོད་སྐད་དུ་སྨོས་པ་ལྟར་བཀོད་ཅིང་།
,,3,2,《པེ་》《སྣར་》,ཤཀྵ།,,,,,
,,4,3,《པེ་》《སྣར་》,ཡ།,,,,,
,,5,4,《པེ་》《སྣར་》,བསྲག,,,,,
,,6,5,《པེ་》《སྣར་》,དཔའ།,,,,,
,,7,6,《པེ་》《སྣར་》,ཆས།,,,,,
,1010,8,1,《པེ་》《སྣར་》,pཡི།,,,,,
,,9,2,《པེ་》《སྣར་》,mབྱའི།,,,,,
,,10,3,《པེ་》《སྣར་》,གྲུལ་བུམ།,,,,,
,,11,4,《པེ་》《སྣར་》,དགའ།,,,,,
,,12,5,《པེ་》《སྣར་》,བདེར།,,,,,
,,13,6,《སྣར་》,ཆོད།,,,,,
,,14,7,《པེ་》《སྣར་》,རྩམས།,,,,,
,,15,8,《པེ་》《སྣར་》,གིས།,,,,,
,,16,9,《པེ་》《སྣར་》,ནི།,,,,,
,,17,10,《པེ་》《སྣར་》,གྱུར་པ།,,,,,
,,18,11,《པེ་》《སྣར་》,སྦྱོར་བ།,,,,,
,1011,19,1,《པེ་》,mན།,,,,,
,,20,2,《པེ་》《སྣར་》,mརྣམ་པ།,,,,,
,,21,3,《སྣར་》,རྟེན།,,,,,
,,22,4,《སྣར་》,པ།,,,,,
,,23,5,《པེ་》《སྣར་》,ཇི།,,,,,
,,24,6,《པེ་》《སྣར་》,དཔྱོད།,,,,,
,,25,7,《སྣར་》,དེ།,,,,,
,,26,8,《པེ་》,བཟུངས།,,,,,
,,27,9,《པེ་》《སྣར་》,པ།,,,,,
,,28,10,《སྣར་》,བསྐྱེད།,,,,,
,,29,11,《པེ་》《སྣར་》,སྟོད།,,,,,
,1012,30,1,《སྣར་》,སྤངས།,,,,,
,,31,2,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,32,3,《པེ་》《སྣར་》,རྟེན་པ།,,,,,
,,33,4,《སྣར་》,བསླབས།,,,,,
,,34,5,《སྣར་》,སྟོད།,,,,,
,,35,6,《པེ་》《སྣར་》,རྣམས།,,,,,
,1013,36,1,《སྣར་》,བརྒྱ་ཆེན་པོ་མཐར།,,,,,
,,37,2,《སྣར་》,དེས།,,,,,
,,38,3,《པེ་》《སྣར་》,ཀྱི།,,,,,
,,39,4,《པེ་》《སྣར་》,པ།,,,,,
,1014,40,1,《པེ་》《སྣར་》,དེ།,,,,,
,,41,2,《པེ་》《སྣར་》,ན།,,,,,
,,42,3,《པེ་》《སྣར་》,སྤོང་།,,,,,
,,43,4,《པེ་》《སྣར་》,ཐབས་དང་བསྡུ་པའི་ཕྱིར།,,,,,
,,44,5,《པེ་》《སྣར་》,ཐོབ།,,,,,
,1015,45,1,《པེ་》《སྣར་》,གཙེ།,,,,,
,,46,2,《པེ་》《སྣར་》,mབ།,,,,,
,,47,3,《སྣར་》,ཅན།,,,,,
,,48,4,《པེ་》《སྣར་》,mནི།,,,,,
,,49,5,《པེ་》《སྣར་》,པར།,,,,,
,,50,6,《པེ་》《སྣར་》,དྲལ།,,,,,
,,51,7,《པེ་》《སྣར་》,pཀྱང་།,,,,,
,1016,52,1,《པེ་》《སྣར་》,སྒྲར།,,,,,
,,53,2,《པེ་》《སྣར་》,ལྷུང་།,,,,,
,,54,3,《པེ་》《སྣར་》,pབརྒྱད།,,,,,
,,55,4,《པེ་》《སྣར་》,བསྙེན།,,,,,
,1017,56,1,《པེ་》《སྣར་》,ན།,,,,,
,,57,2,《པེ་》《སྣར་》,ལོག,,,,,
,,58,3,《པེ་》《སྣར་》,བསྒོམ།,,,,,
,,59,4,《པེ་》《སྣར་》,བསྒྱུར།,,,,,
,,60,5,《པེ་》《སྣར་》,mདེ་ལྟར།,,,,,
,,61,6,《པེ་》《སྣར་》,པ་སྤྱོད་པས།,,,,,
,,62,7,《པེ་》《སྣར་》,བ།,,,,,
,,63,8,《པེ་》《སྣར་》,ཡོད།,,,,,
,,64,9,《པེ་》《སྣར་》,mལ།,,,,,
,,65,10,《པེ་》《སྣར་》,ཀྱི།,,,,,
,1018,66,1,《སྣར་》,འཁྲུག,,,,,
,,67,2,《སྣར་》,pཆེན་པོ།,,,,,
,,68,3,《པེ་》《སྣར་》,གིས།,,,,,
,,69,4,《པེ་》《སྣར་》,བསྐྱེད།,,,,,
,,70,5,《པེ་》《སྣར་》,འབྱུང་།,,,,,
,,71,6,《པེ་》《སྣར་》,ཀྱི།,,,,,
,1019,72,1,《པེ་》《སྣར་》,བཞག ,,,,,( ཆོས་ཚན་འདིའི་ནང་དུ་གཞག་ཅེས་པ་རྣམས་《པེ་》《སྣར་》ལ་བཞག་ཅེས་འཁོད་ཀྱང་བསྡུར་མཆན་དུ་བཀོད་མེད། )
,,73,2,《པེ་》《སྣར་》,ཀུ།,,,,,
,,74,3,《པེ་》《སྣར་》,གློག,,,,,
,1020,75,1,《པེ་》《སྣར་》,mདེ་བཞིན་དུ།,,,,,
,,76,2,《པེ་》《སྣར་》,རྩྭའི་མེ་སྒྲོན་ཕུལ་ནས།,,,,,
,,77,3,《པེ་》《སྣར་》,གནོན་བརྟན།,,,,,
,,78,4,《པེ་》《སྣར་》,mདཔེར་ན།,,,,,
,,79,5,《པེ་》《སྣར་》,མ།,,,,,
,,80,6,《པེ་》《སྣར་》,ཁྱེད།,,,,,
,,81,7,《པེ་》《སྣར་》,mཡང་།,,,,,
,1021,82,1,《སྣར་》,གོ།,,,,,
,,83,2,《པེ་》《སྣར་》,བརྩིས།,,,,,
,,84,3,《པེ་》,གྱི།,,,,,
,,85,4,《པེ་》《སྣར་》,པར།,,,,,
,,86,5,《པེ་》《སྣར་》,ཁྱེད།,,,,,
,1022,87,1,《པེ་》《སྣར་》,mཆེན་པོ།,,,,,
,,88,2,《པེ་》《སྣར་》,འདའ།,,,,,
,,89,3,《པེ་》《སྣར་》,mདེ་ལས།,,,,,
