མཚན་བྱང་།,ཤོག་གྲངས།,1,མཆན་གྲངས།,པར་མ།,མཆན།,,,,
༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་སྨོན་ལམ་བཞུགས།,1661,2,1,《སྡེ་》《ཅོ་》,༄༅། །བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་སྨོན་ལམ་བཞུགས།,《པེ་》,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལམ་བཞུགས་སོ། །,《སྣར་》,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་སྨོན་ལམ་བཞུགས་སོ། །
,,3,2,《སྣར་》,གསལ།,,,,
,,4,3,《པེ་》《སྣར་》,གྱི་གནོད་པ།,,,,
,,5,4,《པེ་》《སྣར་》,pབ།,,,,
,,6,5,《པེ་》《སྣར་》,འགྲུབ།,,,,
,1662,7,1,《པེ་》《སྣར་》,གང་།,,,,
,,8,2,《པེ་》《སྣར་》,པ།,,,,
,,9,3,《སྣར་》,བཟངས།,,,,
,,10,4,《པེ་》《སྣར་》,གྱིས།,,,,
,,11,5,《པེ་》《སྣར་》,ཁས།,,,,
,,12,6,《པེ་》《སྣར་》,ཉེ།,,,,
,,13,7,《སྣར་》,གི།,,,,
,,14,8,《པེ་》,བསམས།,,,,
,,15,9,《སྣར་》,དག,,,,
,,16,10,《སྣར་》,ཀྱི།,,,,
,,17,11,《པེ་》,དུ་བདེ་བ།,《སྣར་》,ཏུ་བདེ་བ།,,
,,18,12,《པེ་》《སྣར་》,དུ།,,,,
,,19,13,《པེ་》《སྣར་》,ཅན།,,,,
,,20,14,《སྣར་》,ཀྱི།,,,,
,1663,21,1,《པེ་》《སྣར་》,གུར།,,,,
,,22,2,《པེ་》《སྣར་》,འཁྲུངས་པར།,,,,
,,23,3,《སྣར་》,གསུང་ཆེན།,,,,
,,24,4,《པེ་》《སྣར་》,འབབས།,,,,
,,25,5,《པེ་》《སྣར་》,འདིར།,,,,
,,26,6,《པེ་》,པམ།,《སྣར་》,པས།,,
,,27,7,《སྣར་》,བར།,,,,
,,28,8,《པེ་》《སྣར་》,པ།,,,,
,,29,9,《པེ་》《སྣར་》,བསམས།,,,,
,,30,10,《པེ་》《སྣར་》,ཀྱི།,,,,
,,31,11,《པེ་》《སྣར་》,དུ།,,,,
,1664,32,1,《པེ་》《སྣར་》,mནས་ཡོངས།,,,,
,,33,2,《པེ་》《སྣར་》,pདཔའ་འོད།,,,,
,,34,3,《པེ་》,གིས་ཞབས་ཀྱིས།,《སྣར་》,གིས་ཞབས་ཀྱི།,,
,,35,4,《པེ་》《སྣར་》,བརླན།,,,,
,,36,5,《སྣར་》,མ།,,,,
,,37,6,《པེ་》《སྣར་》,ཀུ།,,,,
,,38,7,《སྣར་》,པ།,,,,
,,39,8,《པེ་》《སྣར་》,ཐོས་པར།,,,,
,,40,9,《པེ་》《སྣར་》,ཀྱི།,,,,
,,41,10,《པེ་》《སྣར་》,ཀྱི།,,,,
,,42,11,《པེ་》《སྣར་》,ཡིད།,,,,
,,43,12,《པེ་》《སྣར་》,ཡི།,,,,
,,44,13,《པེ་》《སྣར་》,བསྟན།,,,,
,1665,45,1,《སྣར་》,གཉེན།,,,,
,,46,2,《པེ་》《སྣར་》,བསམས།,,,,
,,47,3,《སྣར་》,དག་པར།,,,,
,,48,4,《པེ་》《སྣར་》,པར།,,,,
,,49,5,《པེ་》《སྣར་》,བར།,,,,
,,50,6,《པེ་》《སྣར་》,སྣ།,,,,
,,51,7,《སྣར་》,ཆུ།,,,,
,,52,8,《པེ་》,རབས་རྣམས་ཀྱི་ཐོབ།,《སྣར་》,རབ་རྣམས་ཀྱི་ཐོ།,,
,1666,53,1,《པེ་》《སྣར་》,སྤངས་པར།,,,,
,,54,2,《སྣར་》,ཡི།,,,,
,,55,3,《པེ་》《སྣར་》,འཐིལ།,,,,
,,56,4,《པེ་》《སྣར་》,སྟེང་།,,,,
,,57,5,《པེ་》《སྣར་》,པ་དང་།,,,,
,,58,6,《པེ་》《སྣར་》,འགྲུབ།,,,,
,,59,7,《པེ་》《སྣར་》,འཇིག,,,,
,,60,8,《པེ་》《སྣར་》,,,,,
,1667,61,1,《པེ་》《སྣར་》,སྤངས་པར།,,,,
,,62,2,《པེ་》《སྣར་》,གྲུབ་འགྱུར།,,,,
,,63,3,《པེ་》《སྣར་》,ཀྱི།,,,,
,,64,4,《པེ་》《སྣར་》,གྲུབ།,,,,
,,65,5,《པེ་》《སྣར་》,འབྱུང་།,,,,
,,66,6,《པེ་》《སྣར་》,པ།,,,,
,,67,7,《པེ་》《སྣར་》,གྱུར་ཅིག,,,,
,,68,8,《པེ་》《སྣར་》,བྱའི།,,,,
,1668,69,1,《པེ་》《སྣར་》,དང་།,,,,
,,70,2,《སྣར་》,དུ་ཅིའི།,,,,
,,71,3,《པེ་》《སྣར་》,ཅིག,,,,
,,72,4,《སྣར་》,སྙེད།,,,,
,,73,5,《པེ་》《སྣར་》,འབྱུང་།,,,,
