སྡེ་	པེ་	ཅོ་	སྣར་
པ ར་	པ ས་	པ ར་	པ ས་	
བུ	བུ ར	བུ	བུ ར	
དུ་	དུ འང་	དུ་	དུ འང་	
པ	པ ས	པ	པ ས	
ན	པ	ན	པ	
ཀྱིས	ཀྱི	ཀྱིས	ཀྱི	
རེ་	བྲེ་	རེ་	བྲེ་	
མ་	མེ་	མ་	མེ་	
མ ས་	མ འི་	མ ས་	མ འི་	
ནས	པ ས	ནས	པ ས	
མཛའི་	མཛའ་	མཛའི་	མཛའ་	
པ ས	ནས	པ ས	ནས	
པ འི་དབྱངས་ལ་	དཔལ་དབྱངས་ལ འང་	པ འི་དབྱངས་ལ་	དཔལ་དབྱངས་ལ འང་	
				
ཡིས་	ཡི་	ཡིས་	ཡི་	
ཐོ འམ	ཐོ་བ འམ	ཐོ འམ	ཐོ་བ འམ	
པ་	པ ར་	པ་	པ ར་	
པ འང་	པ་	པ འང་	པ་	
བ	ན	བ	ན	
དག་	གང་	དག་	གང་	
ཉེར་	ཉེ་	ཉེར་	ཉེ་	
རྩི་	རྩི འི་	རྩི་	རྩི འི་	
མགྲོན་པོ་	འགྲོན་པ་	མགྲོན་པོ་	འགྲོན་པ་	
པ་	པ ར་	པ་	པ ར་	
བུ	བུ ར	བུ	བུ ར	
བུ	བུ ར	བུ	བུ ར	
ནི་	འདི་	ནི་	འདི་	
ནི་	འདི་	ནི་	འདི་	
ཀྱི་	ཀྱིས་	ཀྱི་	ཀྱིས་	
འགྱུར་བ་	འགྱུར་བ ར་	འགྱུར་བ་	འགྱུར་བ ར་	
ཅི ས་	ཅི་	ཅི ས་	ཅི་	
མི་	མ་	མི་	མ་	
ལ	ན	ལ	ན	
དགྲ ར་	དགྲ་	དགྲ ར་	དགྲ་	
པ	པ འི	པ	པ འི	
བ ས་	བ འི་	བ ས་	བ འི་	
ལ་	དེ་	ལ་	དེ་	
བ	བར	བ	བར	
གིས་	གི་	གིས་	གི་	
པ་ག་ལ་ཡོད	པ ར་ག་ལ་འགྱུར	པ་ག་ལ་ཡོད	པ ར་ག་ལ་འགྱུར	
འདི་	ནི་	འདི་	ནི་	
ཡོང་	ཡོངས་	ཡོང་	ཡོངས་	
རུང་	དུང་	རུང་	དུང་	
དོ	དེ	དོ	དོ	
འདི་	ནི་	འདི་	ནི་	
པ་	པ འི་	པ་	པ འི་	
ན་	ནི་	ན་	ནི་	
པ་	པ འི་	པ་	པ འི་	
པོ་	པོ ར་	པོ་	པོ ར་	
འདི་	དེ་	འདི་	དེ་	
དང་	ནས་	དང་	ནས་	
བར	བ	བར	བ	
བར	བ ས	བར	བ ས	
དང་	དག	དང་	དག	
པ་	པ ས་	པ་	པ ས་	
ན	ནས	ན	ནས	
ཀྱིས	ཀྱི	ཀྱིས	ཀྱི	
འོ་	བོ་	འོ་	བོ་	
ལ འང་	ལ	ལ འང་	ལ	
པ ར་	པ་	པ ར་	པ་	
པ་	པ ར་	པ་	པ ར་	
པ ར་	པ་	པ ར་	པ་	
དེ	དེ ས	དེ	དེ ས	
པ ར་	པ ས་	པ ར་	པ ས་	
རྗེ་	རྗེས་	རྗེ་	རྗེས་	
དུ་	དུ འང་	དུ་	དུ འང་	
པ ས་	པ ར་	པ ས་	པ ར་	
པ ས་	པ འི་	པ ས་	པ འི་	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
པ འི	པ	པ འི	པ	
ཀྱིས་	ཀྱི་	ཀྱིས་	ཀྱི་	
				
ཀུན་ཡང་	དག་ཀྱང་	ཀུན་ཡང་	དག་ཀྱང་	
དུ་	གྱིས་	དུ་	གྱིས་	
གིས་	གི་	གིས་	གི་	
གལ་	འོན་	གལ་	འོན་	
ནི	ཡང་	ནི	ཡང་	
གམ་	དང་	གམ་	དང་	
ཀརྣ་	ཀརྞ་	ཀརྣ་	ཀརྞ་	
ནི་	ཏེ་	ནི་	ཏེ་	
པ ས	ཤིང་	པ ས	ཤིང་	
པོ་	པོ འི་	པོ་	པོ འི་	
འདི་	ནི་	འདི་	ནི་	
བྱ ར་	བྱ་	བྱ ར་	བྱ་	
གཡེང་འགྱུར་བ	གཡེངས་འགྱུར་པ ས	གཡེང་འགྱུར་བ	གཡེངས་འགྱུར་པ ས	
བ འང་	གང་	བ འང་	གང་	
ལ་	པ་	ལ་	པ་	
པ ས་	པ་	པ ས་	པ་	
པ ས་	པ་	པ ས་	པ་	
ཅི་	ཅི འི་	ཅི་	ཅི འི་	
ནི	ན	ནི	ན	
བ་	བར་	བ་	བར་	
པ་ན འང་	པ ས་ན	པ་ན འང་	པ ས་ན	
