སྣར་	ཅོ་	སྡེ་	པེ་
པ ས་	པ ར་	པ ར་	པ ས་	
བུ ར	བུ	བུ	བུ ར	
དུ འང་	དུ་	དུ་	དུ འང་	
པ ས	པ	པ	པ ས	
པ	ན	ན	པ	
ཀྱི	ཀྱིས	ཀྱིས	ཀྱི	
བྲེ་	རེ་	རེ་	བྲེ་	
མེ་	མ་	མ་	མེ་	
མ འི་	མ ས་	མ ས་	མ འི་	
པ ས	ནས	ནས	པ ས	
མཛའ་	མཛའི་	མཛའི་	མཛའ་	
ནས	པ ས	པ ས	ནས	
དཔལ་དབྱངས་ལ འང་	པ འི་དབྱངས་ལ་	པ འི་དབྱངས་ལ་	དཔལ་དབྱངས་ལ འང་	
				
ཡི་	ཡིས་	ཡིས་	ཡི་	
ཐོ་བ འམ	ཐོ འམ	ཐོ འམ	ཐོ་བ འམ	
པ ར་	པ་	པ་	པ ར་	
པ་	པ འང་	པ འང་	པ་	
ན	བ	བ	ན	
གང་	དག་	དག་	གང་	
ཉེ་	ཉེར་	ཉེར་	ཉེ་	
རྩི འི་	རྩི་	རྩི་	རྩི འི་	
འགྲོན་པ་	མགྲོན་པོ་	མགྲོན་པོ་	འགྲོན་པ་	
པ ར་	པ་	པ་	པ ར་	
བུ ར	བུ	བུ	བུ ར	
བུ ར	བུ	བུ	བུ ར	
འདི་	ནི་	ནི་	འདི་	
འདི་	ནི་	ནི་	འདི་	
ཀྱིས་	ཀྱི་	ཀྱི་	ཀྱིས་	
འགྱུར་བ ར་	འགྱུར་བ་	འགྱུར་བ་	འགྱུར་བ ར་	
ཅི་	ཅི ས་	ཅི ས་	ཅི་	
མ་	མི་	མི་	མ་	
ན	ལ	ལ	ན	
དགྲ་	དགྲ ར་	དགྲ ར་	དགྲ་	
པ འི	པ	པ	པ འི	
བ འི་	བ ས་	བ ས་	བ འི་	
དེ་	ལ་	ལ་	དེ་	
བར	བ	བ	བར	
གི་	གིས་	གིས་	གི་	
པ ར་ག་ལ་འགྱུར	པ་ག་ལ་ཡོད	པ་ག་ལ་ཡོད	པ ར་ག་ལ་འགྱུར	
ནི་	འདི་	འདི་	ནི་	
ཡོངས་	ཡོང་	ཡོང་	ཡོངས་	
དུང་	རུང་	རུང་	དུང་	
དོ	དོ	དོ	དེ	
ནི་	འདི་	འདི་	ནི་	
པ འི་	པ་	པ་	པ འི་	
ནི་	ན་	ན་	ནི་	
པ འི་	པ་	པ་	པ འི་	
པོ ར་	པོ་	པོ་	པོ ར་	
དེ་	འདི་	འདི་	དེ་	
ནས་	དང་	དང་	ནས་	
བ	བར	བར	བ	
བ ས	བར	བར	བ ས	
དག	དང་	དང་	དག	
པ ས་	པ་	པ་	པ ས་	
ནས	ན	ན	ནས	
ཀྱི	ཀྱིས	ཀྱིས	ཀྱི	
བོ་	འོ་	འོ་	བོ་	
ལ	ལ འང་	ལ འང་	ལ	
པ་	པ ར་	པ ར་	པ་	
པ ར་	པ་	པ་	པ ར་	
པ་	པ ར་	པ ར་	པ་	
དེ ས	དེ	དེ	དེ ས	
པ ས་	པ ར་	པ ར་	པ ས་	
