སྣར་	ཅོ་	སྡེ་	པེ་
བརྟག	རྟག	རྟག	བརྟག	
སྤྱད་	སྤྱོད་	སྤྱོད་	སྤྱད་	
བསྲེག་	སྲེག་	སྲེག་	བསྲེག་	
བསྡུ་	བསྡུས་	བསྡུས་	བསྡུ་	
བསྒྲལ་	དགྲོལ་	དགྲོལ་	བསྒྲལ་	
རྒྱུག	རྒྱུག	རྒྱུག	བརྒྱུག	
བགྲང་	གྲངས་	གྲངས་	བགྲང་	
བཟུང་བར་	གཟུང་བ ར་	གཟུང་བ ར་	བཟུང་བར་	
བཟུང་	གཟུང་	གཟུང་	བཟུང་	
བགྱི	བགྱིད	བགྱིད	བགྱི	
དབུལ	འབུལ	འབུལ	དབུལ	
ལྟ་	བལྟ་	བལྟ་	ལྟ་	
མཆིས	མཆི	མཆི	མཆིས	
འཆགས	བཤགས	བཤགས	འཆགས	
སྐྱབས་	བསྐྱབས་	བསྐྱབས་	སྐྱབས་	
སྐྱབ་	བསྐྱབ་	བསྐྱབ་	སྐྱབ་	
རླག་	བརླག་	བརླག་	རླག་	
བསྒྲུབ	སྒྲུབ	སྒྲུབ	བསྒྲུབ	
གཏད་པ་	བཏང་བ་	བཏང་བ་	གཏང་བ་	
རྒལ་	བརྒལ་	བརྒལ་	བརྒལ་	
འགྱུར་བ ར་	གྱུར་པ ར་	གྱུར་པ ར་	འགྱུར་བ ར་	
གཟེང་	གཟེངས་	གཟེངས་	གཟེང་	
འཁྱམས་	འཁྱམ་	འཁྱམ་	འཁྱམས་	
བསྲུབས་པ་ལས	བསྲུབས་པ་ལས	བསྲུབས་པ་ལས	བསྲུབ་པ་ལ	
བཟུང་	གཟུང་	གཟུང་	བཟུང་	
བཏང་ཞེས་བརྟག་	བཏང་ཞེས་བརྟགས་	བཏང་ཞེས་བརྟགས་	གཏང་ཞེས་བརྟག་	
བསམས་	བསམ་	བསམ་	བསམས་	
གཅད་	བཅད་	བཅད་	གཅད་	
ཐོབ་	འཐོབ་	འཐོབ་	ཐོབ་	
སྲེག་འགྱུར་	བསྲེགས་གྱུར་	བསྲེགས་གྱུར་	སྲེག་འགྱུར་	
བསྲེལ་བར་བྱེད	སྲེལ་བྱེད་ན	སྲེལ་བྱེད་ན	བསྲེལ་བར་བྱེད	
བསྒྲུབ་	སྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	
རྟས་	བརྟས་	བརྟས་	རྟས་	
སྤོང་	སྤོངས་	སྤོངས་	སྤོང་	
དུལ་	ཐུལ་	ཐུལ་	དུལ་	
བཏུལ་	ཐུལ་	ཐུལ་	བཏུལ་	
བསྲེགས་	སྲེག་	སྲེག་	བསྲེགས་	
བསྲུན་	སྲུན་	སྲུན་	བསྲུན་	
སྐྱེས་	བསྐྱེད་	བསྐྱེད་	སྐྱེས་	
བཟུང་	གཟུང་	གཟུང་	གཟུང་	
བསྒྲིམས་	སྒྲིམས་	སྒྲིམས་	བསྒྲིམས་	
བསྲུང་	སྲུང་	སྲུང་	བསྲུང་	
བསམ་	བསམས་	བསམས་	བསམ་	
འབྲངས་པ ས	འབྲང་བ ས	འབྲང་བ ས	འབྲང་བ ས	
བཏང་	གཏོང་	གཏོང་	གཏོང་	
གཞག	བཞག	བཞག	གཞག	
བལྟ་	ལྟ་	ལྟ་	བལྟ་	
བལྟ	ལྟ	ལྟ	བལྟ	
སྤངས་བར་	སྤང་བ ར་	སྤང་བ ར་	སྤང་བ ར་	
འགྱུར་	གྱུར་	གྱུར་	འགྱུར་	
བརྟོལ་	རྟོལ་	རྟོལ་	བརྟོལ་	
བཟུང་བར་	གཟུང་བ ར་	གཟུང་བ ར་	བཟུང་བར་	
བྱ་ཞིང་	བྱས་ཤིང་	བྱས་ཤིང་	བྱ་ཞིང་	
གཤལ་	བཤལ་	བཤལ་	གཤལ་	
འགྲུབ་	སྒྲུབ་	སྒྲུབ་	འགྲུབ་	
སྐུལ་	བསྐུལ་	བསྐུལ་	སྐུལ་	
བགྱིས་	གྱིས་	གྱིས་	བགྱིས་	
བལྟོས་	ལྟོས་	ལྟོས་	བལྟོས་	
བཏང་	གཏང་	གཏང་	གཏང་	
བཏང་	གཏང་	གཏང་	བཏང་	
བཏང་	གཏང་	གཏང་	བཏང་	
འགྱུར་	གྱུར་	གྱུར་	འགྱུར་	
བསྟམས་	བསྡམས་	བསྡམས་	བསྟམས་	
གཏང་	བཏང་	བཏང་	གཏང་	
བཀླགས་	བཀླགས་	བཀླགས་	བཀླག་	
ཀླག་	བཀླག་	བཀླག་	ཀླག་	
སྤྱད་	སྤྱོད་	སྤྱད་	སྤྱད་	
སྟེན་	བསྟེན་	བསྟེན་	སྟེན་	
རྟས་	བརྟས་	བརྟས་	རྟས་	
དཀྲུག་	དཀྲུགས་	དཀྲུགས་	དཀྲུག་	
བཟློག་	ཟློག་	ཟློག་	བཟློག་	
སྲེག་དང་གཅོད་	བསྲེག་དང་བཅད་	བསྲེག་དང་བཅད་	སྲེག་དང་གཅོད་	
རྟེག་	རྡེག་	རྡེག་	རྟེག་	
གཟེ་	བཟེ་	བཟེ་	གཟེ་	
འབོག་	བོག་	བོག་	འབོག་	
འཛེམ་	འཛེམ་	འཛེམ་	འཛེམས་	
བྱ	བྱས	བྱས	བྱ	
སེམས་	སོམས་	སོམས་	སེམས་	
འགེག་	འགག་	འགག་	འགེག་	
བརླག་	བརླགས་	བརླག་	བརླག་	
འབྱུང་	བྱུང་	བྱུང་	འབྱུང་	
བསྲེག་	སྲེག་	སྲེག་	བསྲེག་	
ཐོབ	འཐོབ	འཐོབ	ཐོབ	
བཅིང་	བཅིངས་	བཅིངས་	བཅིང་	
འགྲུབ་	གྲུབ་	གྲུབ་	འགྲུབ་	
བ འི	བ	བ	བ འི	
ཡི	བ འི	བ འི	ཡི	
ཆུངས་པ ར་	ཆུང་བར་	ཆུང་བར་	ཆུངས་པ ར་	
སྤྱི་འཚོགས་གང་	སྤྱི ར་འཚོག་གམ	སྤྱི ར་འཚོག་གམ	སྤྱི་འཚོགས་གང་	
བྱེད	བྱ	བྱ	བྱེད	
ཐོབ་	འཐོབ་	འཐོབ་	ཐོབ་	
བསྒྱུར་	སྒྱུར་	སྒྱུར་	བསྒྱུར་	
འཐོབ	ཐོབ	ཐོབ	འཐོབ	
བསགས་	བསག་	བསག་	བསགས་	
གདུངས་པ་	གདུང་བ་	གདུང་བ་	གདུངས་པ་	
གྱུར་	འགྱུར་	འགྱུར་	གྱུར་	
གསུངས་པ ས་	གསུང་བ ས་	གསུང་བ ས་	གསུངས་པ ས་	
ཐོབ	འཐོབ	འཐོབ	ཐོབ	
བསྒྲུབ་	སྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	
སྤང་	སྤངས་	སྤང་	སྤང་	
སྒྲུབ་	གྲུབ་	གྲུབ་	སྒྲུབ་	
གྱུར་	འགྱུར་	འགྱུར་	གྱུར་	
བསྒོམ་	བསྒོམས་	བསྒོམས་	བསྒོམ་	
འབྲལ་	བྲལ་	བྲལ་	འབྲལ་	
འགྲུབ་	སྒྲུབ་	སྒྲུབ་	འགྲུབ་	
བསྒྲུབ་	སྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	
བྱེད་དེ	བྱས་ཏེ	བྱས་ཏེ	བྱེད་དེ	
གྱུར	འགྱུར	འགྱུར	གྱུར	
བསྲན་	སྲན་	སྲན་	བསྲན་	
སྲུང་	བསྲུང་	བསྲུང་	སྲུང་	
བྱས་པ འི་	བྱ་བ འི་	བྱ་བ འི་	བྱས་པ འི་	
བཟུང་	གཟུར་	གཟུར་	བཟུར་	
བསྒྲིམ	སྒྲིམ	སྒྲིམ	བསྒྲིམས	
སྒྱུར་ཏེ། དེ་ལྟ་	བསྒྱུར་ཏེ། །དེ་ལྟར་	བསྒྱུར་ཏེ། །དེ་ལྟར་	སྒྱུར་ཏེ། དེ་ལྟ་	
གཞག	བཞག	བཞག	གཞག	
སྤོངས་ཏེ	སྤོང་སྟེ	སྤོང་སྟེ	སྤོངས་ཏེ	
གི	གིས	གིས	གི	
ཁྲོས་	ཁྲོ་	ཁྲོ་	ཁྲོས་	
སྐྱེད	སྐྱེ	སྐྱེ	སྐྱེད	
བསྙེམས་	སྙེམས་	སྙེམས་	བསྙེམས་	
འགྱུར་ཞིང་	གྱུར་ཅིང་	གྱུར་ཅིང་	འགྱུར་ཞིང་	
བསམས་	བསམ་	བསམ་	བསམས་	
བརྗོད་	རྗོད་	རྗོད་	བརྗོད་	
བྱེད	བྱ	བྱ	བྱེད	
བསྒྲུབ	སྒྲུབ	སྒྲུབ	བསྒྲུབ	
གཟེམས་	འཛེམས་	འཛེམས་	གཟེམས་	
ལྟ་	བལྟ་	བལྟ་	ལྟ་	
བསྲུངས་	བསྲུང་	བསྲུང་	བསྲུངས་	
ལྟ་བ ར་	བལྟ་བ ར་	བལྟ་བ ར་	ལྟ་བ ར་	
འོངས་	འོང་	འོང་	འོངས་	
བྱུང་	འབྱུང་	འབྱུང་	བྱུང་	
སྒྲུབ་	བསྒྲུབས་	བསྒྲུབས་	སྒྲུབ་	
བརྩོངས་པ་	བཙོང་བ་	བཙོང་བ་	བརྩོངས་པ་	
བརྩོངས་ཤིང་	བཙོང་ཞིང་	བཙོང་ཞིང་	བརྩོངས་ཤིང་	
བསྲེག་	བསྲེགས་	བསྲེགས་	བསྲེག་	
རླག་	བརླག་	བརླག་	རླག་	
ཆགས་	འཆག་	འཆག་	ཆགས་	
བལྟོས་པ་མེད་པ འི་	ལྟོས་པ་མེད་པ ར་	ལྟོས་པ་མེད་པ ར་	བལྟོས་པ་མེད་པ འི་	
བསམས་	བསམ་	བསམ་	བསམས་	
སྲུང་	བསྲུང་	བསྲུང་	སྲུང་	
ཅི ས་སྲུང་། བདག་གི་	ཅི་བསྲུང་། །བདག་གིས་	ཅི་བསྲུང་། །བདག་གིས་	ཅི ས་སྲུང་། བདག་གི་	
བསྲུང་	བསྲུངས་	བསྲུངས་	བསྲུང་	
སྤངས་	སྤང་	སྤང་	སྤངས་	
འགྱུར་བ ས	གྱུར་པ	གྱུར་པ	འགྱུར་བ ས	
བསམས་	བསམ་	བསམ་	བསམས་	
གཞག་	བཞག་	བཞག་	གཞག་	
གོམ་	གོམས་	གོམས་	གོམ་	
འབྱུང་	བྱུང་	བྱུང་	འབྱུང་	
སྤྱོད་	སྤྱད་	སྤྱད་	སྤྱད་	
ལྟ་བ ར་	བལྟ་བ ར་	བལྟ་བ ར་	ལྟ་བ ར་	
གདུང་བ ར་	གདུངས་པ ར་	གདུངས་པ ར་	གདུང་བ ར་	
འགྲོ ར་རིམ་གྲོ་ཐོབ་	འགྲོ་རིམ་གྲོ་འཐོབ་	འགྲོ་རིམ་གྲོ་འཐོབ་	འགྲོ ར་རིམ་གྲོ་ཐོབ་	
གཡོགས་	གཡོག་	གཡོག་	གཡོགས་	
བཏང་བར་བྱ	གཏང་བྱ་དང་	གཏང་བྱ་དང་	བཏང་བར་བྱ	
བཟུང་བར་	གཟུང་བ ར་	གཟུང་བ ར་	བཟུང་བར་	
བསྒྲུབ་པ འི་	སྒྲུབ་པ ར་	སྒྲུབ་པ ར་	བསྒྲུབ་པ འི་	
བྱས་ཏེ	བྱ་སྟེ	བྱ་སྟེ	བྱས་ཏེ	
གྲགས	གྲག	གྲག	གྲགས	
བལྟ་བ་རྒུད་	ལྟ་བ་གུད་	ལྟ་བ་གུད་	བལྟ་བ་རྒུད་	
གསལ་	བསལ་	བསལ་	གསལ་	
བལྟ	ལྟ	ལྟ	བལྟ	
གྲགས་པ་ཡིས	བསྒྲགས་པ་ཡི	བསྒྲགས་པ་ཡི	གྲགས་པ་ཡིས	
འགྱུར་བ འི	གྱུར་པ འི	གྱུར་པ འི	འགྱུར་བ འི	
བྱས་ཏེ	བྱ་སྟེ	བྱ་སྟེ	བྱས་ཏེ	
བཅད་	གཅད་	གཅད་	བཅད་	
བཙོངས་ཀྱིས	བཙོང་གིས	བཙོང་གིས	བཙོངས་ཀྱིས	
རིང་	རིངས་	རིངས་	རིང་	
སྐྱོ་བ ར་བྱེད་འགྱུར་བ	སྐྱོང་བར་བྱེད་གྱུར་པ	སྐྱོང་བར་བྱེད་གྱུར་པ	སྐྱོ་བ ར་བྱེད་འགྱུར་བ	
བྱས་པ	བྱ་བ	བྱ་བ	བྱས་པ	
གྱུར་པ	འགྱུར་བ	འགྱུར་བ	གྱུར་པ	
བཟུང་བར་	གཟུང་བ ར་	གཟུང་བ ར་	བཟུང་བར་	
བཞག་	གཞག་	གཞག་	བཞག་	
ཚོགས་	འཚོགས་	འཚོགས་	ཚོགས་	
བལྟོས་	ལྟོས་	ལྟོས་	བལྟོས་	
བལྟོས་དང་བལྟོས་	ལྟོས་	ལྟོས་	བལྟོས་དང་བལྟོས་	
བརྗོད་	རྗོད་	རྗོད་	བརྗོད་	
