སྡེ་	པེ་	ཅོ་	སྣར་
རྟག	བརྟག	རྟག	བརྟག	
སྤྱོད་	སྤྱད་	སྤྱོད་	སྤྱད་	
སྲེག་	བསྲེག་	སྲེག་	བསྲེག་	
བསྡུས་	བསྡུ་	བསྡུས་	བསྡུ་	
དགྲོལ་	བསྒྲལ་	དགྲོལ་	བསྒྲལ་	
རྒྱུག	བརྒྱུག	རྒྱུག	རྒྱུག	
གྲངས་	བགྲང་	གྲངས་	བགྲང་	
གཟུང་བ ར་	བཟུང་བར་	གཟུང་བ ར་	བཟུང་བར་	
གཟུང་	བཟུང་	གཟུང་	བཟུང་	
བགྱིད	བགྱི	བགྱིད	བགྱི	
འབུལ	དབུལ	འབུལ	དབུལ	
བལྟ་	ལྟ་	བལྟ་	ལྟ་	
མཆི	མཆིས	མཆི	མཆིས	
བཤགས	འཆགས	བཤགས	འཆགས	
བསྐྱབས་	སྐྱབས་	བསྐྱབས་	སྐྱབས་	
བསྐྱབ་	སྐྱབ་	བསྐྱབ་	སྐྱབ་	
བརླག་	རླག་	བརླག་	རླག་	
སྒྲུབ	བསྒྲུབ	སྒྲུབ	བསྒྲུབ	
བཏང་བ་	གཏང་བ་	བཏང་བ་	གཏད་པ་	
བརྒལ་	བརྒལ་	བརྒལ་	རྒལ་	
གྱུར་པ ར་	འགྱུར་བ ར་	གྱུར་པ ར་	འགྱུར་བ ར་	
གཟེངས་	གཟེང་	གཟེངས་	གཟེང་	
འཁྱམ་	འཁྱམས་	འཁྱམ་	འཁྱམས་	
བསྲུབས་པ་ལས	བསྲུབ་པ་ལ	བསྲུབས་པ་ལས	བསྲུབས་པ་ལས	
གཟུང་	བཟུང་	གཟུང་	བཟུང་	
བཏང་ཞེས་བརྟགས་	གཏང་ཞེས་བརྟག་	བཏང་ཞེས་བརྟགས་	བཏང་ཞེས་བརྟག་	
བསམ་	བསམས་	བསམ་	བསམས་	
བཅད་	གཅད་	བཅད་	གཅད་	
འཐོབ་	ཐོབ་	འཐོབ་	ཐོབ་	
བསྲེགས་གྱུར་	སྲེག་འགྱུར་	བསྲེགས་གྱུར་	སྲེག་འགྱུར་	
སྲེལ་བྱེད་ན	བསྲེལ་བར་བྱེད	སྲེལ་བྱེད་ན	བསྲེལ་བར་བྱེད	
སྒྲུབ་	བསྒྲུབ་	སྒྲུབ་	བསྒྲུབ་	
བརྟས་	རྟས་	བརྟས་	རྟས་	
སྤོངས་	སྤོང་	སྤོངས་	སྤོང་	
ཐུལ་	དུལ་	ཐུལ་	དུལ་	
ཐུལ་	བཏུལ་	ཐུལ་	བཏུལ་	
སྲེག་	བསྲེགས་	སྲེག་	བསྲེགས་	
སྲུན་	བསྲུན་	སྲུན་	བསྲུན་	
བསྐྱེད་	སྐྱེས་	བསྐྱེད་	སྐྱེས་	
གཟུང་	གཟུང་	གཟུང་	བཟུང་	
སྒྲིམས་	བསྒྲིམས་	སྒྲིམས་	བསྒྲིམས་	
སྲུང་	བསྲུང་	སྲུང་	བསྲུང་	
བསམས་	བསམ་	བསམས་	བསམ་	
འབྲང་བ ས	འབྲང་བ ས	འབྲང་བ ས	འབྲངས་པ ས	
གཏོང་	གཏོང་	གཏོང་	བཏང་	
བཞག	གཞག	བཞག	གཞག	
ལྟ་	བལྟ་	ལྟ་	བལྟ་	
ལྟ	བལྟ	ལྟ	བལྟ	
སྤང་བ ར་	སྤང་བ ར་	སྤང་བ ར་	སྤངས་བར་	
གྱུར་	འགྱུར་	གྱུར་	འགྱུར་	
རྟོལ་	བརྟོལ་	རྟོལ་	བརྟོལ་	
གཟུང་བ ར་	བཟུང་བར་	གཟུང་བ ར་	བཟུང་བར་	
བྱས་ཤིང་	བྱ་ཞིང་	བྱས་ཤིང་	བྱ་ཞིང་	
བཤལ་	གཤལ་	བཤལ་	གཤལ་	
སྒྲུབ་	འགྲུབ་	སྒྲུབ་	འགྲུབ་	
བསྐུལ་	སྐུལ་	བསྐུལ་	སྐུལ་	
གྱིས་	བགྱིས་	གྱིས་	བགྱིས་	
ལྟོས་	བལྟོས་	ལྟོས་	བལྟོས་	
གཏང་	གཏང་	གཏང་	བཏང་	
གཏང་	བཏང་	གཏང་	བཏང་	
གཏང་	བཏང་	གཏང་	བཏང་	
གྱུར་	འགྱུར་	གྱུར་	འགྱུར་	
བསྡམས་	བསྟམས་	བསྡམས་	བསྟམས་	
བཏང་	གཏང་	བཏང་	གཏང་	
བཀླགས་	བཀླག་	བཀླགས་	བཀླགས་	
བཀླག་	ཀླག་	བཀླག་	ཀླག་	
སྤྱད་	སྤྱད་	སྤྱོད་	སྤྱད་	
བསྟེན་	སྟེན་	བསྟེན་	སྟེན་	
བརྟས་	རྟས་	བརྟས་	རྟས་	
དཀྲུགས་	དཀྲུག་	དཀྲུགས་	དཀྲུག་	
ཟློག་	བཟློག་	ཟློག་	བཟློག་	
བསྲེག་དང་བཅད་	སྲེག་དང་གཅོད་	བསྲེག་དང་བཅད་	སྲེག་དང་གཅོད་	
རྡེག་	རྟེག་	རྡེག་	རྟེག་	
བཟེ་	གཟེ་	བཟེ་	གཟེ་	
བོག་	འབོག་	བོག་	འབོག་	
འཛེམ་	འཛེམས་	འཛེམ་	འཛེམ་	
བྱས	བྱ	བྱས	བྱ	
སོམས་	སེམས་	སོམས་	སེམས་	
འགག་	འགེག་	འགག་	འགེག་	
བརླག་	བརླག་	བརླགས་	བརླག་	
བྱུང་	འབྱུང་	བྱུང་	འབྱུང་	
སྲེག་	བསྲེག་	སྲེག་	བསྲེག་	
འཐོབ	ཐོབ	འཐོབ	ཐོབ	
བཅིངས་	བཅིང་	བཅིངས་	བཅིང་	
གྲུབ་	འགྲུབ་	གྲུབ་	འགྲུབ་	
བ	བ འི	བ	བ འི	
བ འི	ཡི	བ འི	ཡི	
ཆུང་བར་	ཆུངས་པ ར་	ཆུང་བར་	ཆུངས་པ ར་	
སྤྱི ར་འཚོག་གམ	སྤྱི་འཚོགས་གང་	སྤྱི ར་འཚོག་གམ	སྤྱི་འཚོགས་གང་	
བྱ	བྱེད	བྱ	བྱེད	
འཐོབ་	ཐོབ་	འཐོབ་	ཐོབ་	
སྒྱུར་	བསྒྱུར་	སྒྱུར་	བསྒྱུར་	
ཐོབ	འཐོབ	ཐོབ	འཐོབ	
བསག་	བསགས་	བསག་	བསགས་	
གདུང་བ་	གདུངས་པ་	གདུང་བ་	གདུངས་པ་	
འགྱུར་	གྱུར་	འགྱུར་	གྱུར་	
