༢ཁུགས | ཁུག_འདས་པ།_ཐ་མི་དད་པ
༢འགོངས | འགོང_སྐུལ་ཚིག_ཐ་དད་པ
༢སྐུལཚིག | གཏུག_འདས་པ།_###+གཏུག_འདས་པ།_ཐ་དད་པ
ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
ཀེར | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀྲུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀླན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཀླལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཀླས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཀླུབ | ཀླུབ_ད་ལྟ་བ།_ཐ་དད་པ
ཀླུབས | ཀླུབ_སྐུལ་ཚིག_ཐ་དད་པ
ཀློག | ཀློག_ད་ལྟ་བ།_ཐ་དད་པ
ཀློགས | ཀློག_སྐུལ་ཚིག_ཐ་དད་པ
ཀློད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཁུག | འགུགས_སྐུལ་ཚིག_###+ཁུག_ད་ལྟ་བ།_ཐ་མི་དད་པ+འགུགས_སྐུལ་ཚིག_ཐ་དད་པ+ཁུག_མ་འོངས་པ།_ཐ་མི་དད་པ
ཁུན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁུམ | འགུམ_སྐུལ་ཚིག_ཐ་དད་པ
ཁུམས | བྱ་ཚིག_ཐ་མི་དད་པ
ཁུར | འཁུར_སྐུལ་ཚིག_ཐ་དད་པ+འཁུར_འདས་པ།_ཐ་དད་པ
ཁེ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེག | ཁེག_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེག_མ་འོངས་པ།_ཐ་མི་དད་པ
ཁེགས | ཁེག_འདས་པ།_ཐ་མི་དད་པ
ཁེང | ཁེང_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེང_མ་འོངས་པ།_###+ཁེང_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁེང_ད་ལྟ་བ།_###
ཁེངས | ཁེང_འདས་པ།_ཐ་མི་དད་པ+ཁེང_འདས་པ།_###
ཁེད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁེབ | ཁེབ_ད་ལྟ་བ།_ཐ་མི་དད་པ+ཁེབ_མ་འོངས་པ།_ཐ་མི་དད་པ
ཁེབས | ཁེབ_འདས་པ།_ཐ་མི་དད་པ
ཁེར | བྱ་ཚིག_###
ཁེལ | འཁེལ_འདས་པ།_###
ཁོག | འགོག_སྐུལ་ཚིག_###+འགོག_སྐུལ་ཚིག_ཐ་དད་པ
ཁོང | འགེངས_སྐུལ་ཚིག_ཐ་དད་པ
ཁོད | འགོད_སྐུལ་ཚིག_ཐ་དད་པ+འགད_སྐུལ་ཚིག_ཐ་དད་པ
ཁོན | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁོབ | འགེབ_སྐུལ་ཚིག_ཐ་དད་པ+འགེབ_སྐུལ་ཚིག_###
ཁོར | འགེར_སྐུལ་ཚིག_ཐ་དད་པ+འགེལ_སྐུལ་ཚིག_ཐ་དད་པ+འགེར_སྐུལ་ཚིག_###+དགར_སྐུལ་ཚིག_###
ཁོལ | འཁོལ_སྐུལ་ཚིག_ཐ་དད་པ+ཁོལ_འདས་པ།_ཐ་མི་དད་པ+འགེལ_སྐུལ་ཚིག_###+འཁེལ_སྐུལ་ཚིག_###+འཁོལ_སྐུལ་ཚིག_###+འཁེལ_སྐུལ་ཚིག_ཐ་དད་པ+ཁོལ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁོས | འགས_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱག | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
ཁྱགས | བྱ་ཚིག_ཐ་མི་དད་པ
ཁྱབ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྱིགས | འཁྱིག_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱེ | ཁྱེ_མ་འོངས་པ།_ཐ་དད་པ+ཁྱེ_ད་ལྟ་བ།_ཐ་དད་པ
ཁྱེད | འགྱེད_སྐུལ་ཚིག_###+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྱེར | འཁྱེར_འདས་པ།_ཐ་དད་པ+འཁྱེར_སྐུལ་ཚིག_ཐ་དད་པ
ཁྱེས | ཁྱེ_སྐུལ་ཚིག_ཐ་དད་པ+འགྱེད_སྐུལ་ཚིག_###+འགྱེད_སྐུལ་ཚིག_ཐ་དད་པ+ཁྱེ_འདས་པ།_ཐ་དད་པ
ཁྱོག | ཁྱོག_ད་ལྟ་བ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྱོགས | ཁྱོག_སྐུལ་ཚིག_ཐ་དད་པ+འགྱོག_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲིད | འཁྲིད_སྐུལ་ཚིག_###+འཁྲིད_འདས་པ།_ཐ་དད་པ+འཁྲིད_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲིལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲུངས | བྱ་ཚིག_###
ཁྲུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲུས | འཁྲུད_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲེམས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲེལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲོ | ཁྲོ_མ་འོངས་པ།_ཐ་མི་དད་པ+ཁྲོ_ད་ལྟ་བ།_ཐ་མི་དད་པ
ཁྲོག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
ཁྲོབ | འཁྲབ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲོམ | འགྲེམ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲོལ | འགྲེལ_སྐུལ་ཚིག_ཐ་དད་པ+འཁྲོལ_སྐུལ་ཚིག_###+འགྲོལ_སྐུལ་ཚིག_ཐ་དད་པ+འཁྲོལ_སྐུལ་ཚིག_ཐ་དད་པ
ཁྲོས | ཁྲོ_སྐུལ་ཚིག_ཐ་མི་དད་པ+ཁྲོ_འདས་པ།_ཐ་མི་དད་པ
གང | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཅག | གཅོག_མ་འོངས་པ།_ཐ་དད་པ+གཅོག_མ་འོངས་པ།_###+འཇག_མ་འོངས་པ།_ཐ་དད་པ
གཅད | གཅོད_མ་འོངས་པ།_ཐ་མི་དད་པ+གཅོད_མ་འོངས་པ།_###+གཅོད_མ་འོངས་པ།_ཐ་དད་པ
གཅར | གཅར_མ་འོངས་པ།_ཐ་མི་དད་པ+གཅར_མ་འོངས་པ།_###+གཅར_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཅར_ད་ལྟ་བ།_ཐ་དད་པ+གཅར_མ་འོངས་པ།_ཐ་དད་པ+གཅར_འདས་པ།_ཐ་དད་པ+གཅར_ད་ལྟ་བ།_###
གཅི | གཅི_ད་ལྟ་བ།_ཐ་དད་པ+གཅི_མ་འོངས་པ།_ཐ་དད་པ
གཅིར | འཆིར_མ་འོངས་པ།_###+འཆིར_མ་འོངས་པ།_ཐ་དད་པ
གཅིལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅིས | གཅི_འདས་པ།_ཐ་དད་པ+གཅི_སྐུལ་ཚིག_ཐ་དད་པ
གཅུ | གཅུ_ད་ལྟ་བ།_ཐ་དད་པ+གཅུ_མ་འོངས་པ།_ཐ་དད་པ
གཅུགས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཅུད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅུན | འཇུན_མ་འོངས་པ།_ཐ་དད་པ+འཆུན_མ་འོངས་པ།_ཐ་དད་པ
གཅུར | འཇུར_མ་འོངས་པ།_###+འཇུར_མ་འོངས་པ།_ཐ་དད་པ
གཅུས | གཅུ_འདས་པ།_ཐ་དད་པ+གཅུ_སྐུལ་ཚིག_ཐ་དད་པ+འཆུ_སྐུལ་ཚིག_###
གཅེས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཅོག | གཅོག_ད་ལྟ་བ།_ཐ་དད་པ+གཅོག_ད་ལྟ་བ།_###
གཅོད | གཅོད_ད་ལྟ་བ།_###+གཅོད_ད་ལྟ་བ།_ཐ་དད་པ+གཅོད_ད་ལྟ་བ།_ཐ་མི་དད་པ
གཅོམ | གཅོམ_ད་ལྟ་བ།_ཐ་དད་པ
གཅོར | གཅར_སྐུལ་ཚིག_ཐ་མི་དད་པ+གཅར_སྐུལ་ཚིག_ཐ་དད་པ
གཅོལ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཉག | གཉོག_མ་འོངས་པ།_###
གཉགས | གཉོག_འདས་པ།_###
གཉད | གཉོད_མ་འོངས་པ།_ཐ་དད་པ+གཉོད_འདས་པ།_ཐ་དད་པ
གཉིད | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉིལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉུལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཉེལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཉོག | གཉོག_ད་ལྟ་བ།_###+གཉོག_ད་ལྟ་བ།_ཐ་དད་པ+གཉོག_མ་འོངས་པ།_ཐ་དད་པ
གཉོགས | གཉོག_སྐུལ་ཚིག_ཐ་དད་པ+གཉོག_སྐུལ་ཚིག_###+གཉོག_འདས་པ།_ཐ་དད་པ
གཉོད | གཉོད_སྐུལ་ཚིག_ཐ་དད་པ+གཉོད_ད་ལྟ་བ།_ཐ་དད་པ
གཏག | གཏག_མ་འོངས་པ།_###+གཏག_ད་ལྟ་བ།_ཐ་དད་པ+གཏག_མ་འོངས་པ།_ཐ་དད་པ+གཏག_ད་ལྟ་བ།_###
གཏགས | གཏག_འདས་པ།_###+གཏག_འདས་པ།_ཐ་དད་པ
གཏང | གཏོང_མ་འོངས་པ།_ཐ་དད་པ+གཏོང_མ་འོངས་པ།_###
གཏད | གཏོད_མ་འོངས་པ།_###+གཏོད_འདས་པ།_###+གཏོད_ད་ལྟ་བ།_###
གཏན | གཏན_མ་འོངས་པ།_ཐ་དད་པ+གཏན_ད་ལྟ་བ།_ཐ་དད་པ+གཏན_འདས་པ།_ཐ་དད་པ
གཏམས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཏམས_འདས་པ།_###+གཏམས_མ་འོངས་པ།_ཐ་དད་པ+གཏམས_ད་ལྟ་བ།_###+གཏམས_མ་འོངས་པ།_###+གཏམས_ད་ལྟ་བ།_ཐ་དད་པ+གཏམས_འདས་པ།_ཐ་དད་པ
གཏའ | གཏའ_ད་ལྟ་བ།_ཐ་དད་པ+གཏའ_མ་འོངས་པ།_ཐ་དད་པ
གཏར | གཏར_འདས་པ།_ཐ་དད་པ+གཏར_མ་འོངས་པ།_ཐ་དད་པ+གཏར_ད་ལྟ་བ།_ཐ་དད་པ
གཏས | གཏའ_འདས།_ཐ་དད་པ+གཏའ_སྐུལ་ཚིག_ཐ་དད་པ
གཏི | བྱ་ཚིག_ཐ་དད་པ
གཏིག | གཏིག_ད་ལྟ་བ།_ཐ་དད་པ
གཏིགས | གཏིག_སྐུལ་ཚིག_ཐ་དད་པ
གཏིབ | གཏིབ_མ་འོངས་པ།_ཐ་དད་པ+གཏིབ_ད་ལྟ་བ།_ཐ་དད་པ
གཏིབས | གཏིབ_འདས་པ།_ཐ་དད་པ+གཏིབ_སྐུལ་ཚིག_ཐ་དད་པ
གཏིམ | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཏུག | གཏུག_ད་ལྟ་བ།_ཐ་དད་པ+གཏུག_མ་འོངས་པ།_ཐ་མི་དད་པ+གཏུག_ད་ལྟ་བ།_###+གཏུག_མ་འོངས་པ།_###+གཏུག_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཏུག_མ་འོངས་པ།_ཐ་དད་པ
གཏུགས | གཏུག_འདས་པ།_###+གཏུག_སྐུལ་ཚིག_###+གཏུག_འདས་པ།_ཐ་མི་དད་པ+གཏུག_སྐུལ་ཚིག_ཐ་མི་དད་པ
གཏུབ | གཏུབ_ད་ལྟ་བ།_ཐ་དད་པ+གཏུབ_མ་འོངས་པ།_ཐ་དད་པ
གཏུབས | གཏུབ_སྐུལ་ཚིག_ཐ་དད་པ+གཏུབ_འདས་པ།_ཐ་དད་པ
གཏུམ | འཐུམ_མ་འོངས་པ།_ཐ་དད་པ
གཏོག | གཏོག_མ་འོངས་པ།_ཐ་དད་པ+གཏོག_ད་ལྟ་བ།_ཐ་དད་པ+གཏོག_མ་འོངས་པ།_###+གཏོག_ད་ལྟ་བ།_###
གཏོགས | གཏག_སྐུལ་ཚིག_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཏོག_སྐུལ་ཚིག_ཐ་དད་པ+གཏོག_འདས་པ།_###+གཏོག_སྐུལ་ཚིག_###+གཏོག_འདས་པ།_ཐ་དད་པ+གཏག_སྐུལ་ཚིག_###
གཏོང | གཏོང_ད་ལྟ་བ།_ཐ་དད་པ+གཏོང_ད་ལྟ་བ།_###
གཏོད | གཏོད_སྐུལ་ཚིག_###+འདོད_མ་འོངས་པ།_###+གཏོད_ད་ལྟ་བ།_###+གཏོད_མ་འོངས་པ།_###
གཏོན | གཏན_སྐུལ་ཚིག_ཐ་དད་པ
གཏོམས | གཏམས_སྐུལ་ཚིག_###+གཏམས_སྐུལ་ཚིག_ཐ་དད་པ
གཏོར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###+གཏར_སྐུལ་ཚིག_ཐ་དད་པ
གདག | འདོག_མ་འོངས་པ།_ཐ་དད་པ
གདགས | འདོགས_མ་འོངས་པ།_ཐ་དད་པ+འདོགས_མ་འོངས་པ།_###
གདང | གདང_མ་འོངས་པ།_ཐ་དད་པ+གདང_ད་ལྟ་བ།_ཐ་དད་པ
གདངས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གདང_འདས་པ།_ཐ་དད་པ
གདབ | འདེབས_མ་འོངས་པ།_###+འདེབས_མ་འོངས་པ།_ཐ་དད་པ
གདམ | འདེམ_མ་འོངས་པ།_ཐ་དད་པ
