གྲངས་ངེས་,གོ་,རིམས་ཟློས་སྤོང་དང༌་,45,ཤེར་ཕྱིན། ཐ།.txt
གཉིས་ཡོངས་སུ་སྦྱང་བའི་ཕྱིར་,གོ་,གྱོན་ཏེཕྱི་མའི་མུའི་,1130,ཤེར་ཕྱིན། ཇ།.txt
གཞན་,གོ་,ཅི་ཞིག་མཆིས་ལགས་,2886,བསྟོད་ཚོགས། ཀ.txt
སྲུང་བའི་,གོ་,ཆ་གཞན་དག་འདིར་,4536,ཤེར་ཕྱིན། ཇ།.txt
ཞེས་མི་བྱ་ནདེ་ལྟ་ན་,གོ་,ཇི་ལྟར་བཅོམ་ལྡན་,3203,ཤེར་ཕྱིན། མ།.txt
མ་ཡིན་པར་འདུ་ཤེས་པ་,གོ་,དེ་དག་ལ་ངེས་,3070,ཤེར་ཕྱིན། མ།.txt
པ་ཞུགས་ནས་དེ་འཕེལ་ན་,གོ་,དེའི་བསམ་པ་ཡང་,1113,ཤེར་ཕྱིན། མ།.txt
ངོ་བོ་ནི་གང་དེ་ལ་,གོ་,བགོས་པ་ནི་ཉན་,2661,ཤེར་ཕྱིན། ཁ།.txt
གལ་ཏེ་དེ་ལྟ་ན་,གོ་,བཅོམ་ལྡན་འདས་ཀྱིས་,3105,ཤེར་ཕྱིན། མ།.txt
ལས་རིང་བ་ཡིན་ལའདི་ལས་,གོ་,བཟློག་པ་གཟུགས་ལ་,3568,ཤེར་ཕྱིན། ཇ།.txt
ཞེ་ནགལ་ཏེ་དེ་ལྟ་ན་,གོ་,བརྫུན་པ་དེ་དག་,2920,ཤེར་ཕྱིན། མ།.txt
པ་མཇུག་བསྡུ་བ་ནི་དོན་,གོ་,བས་མ་བྲིས་སོ་,2345,ཤེར་ཕྱིན། ཆ།.txt
དེ་ལྟ་ན་,གོ་,བསམ་གཏན་བཞི་པའོ་,497,ཤེར་ཕྱིན། ཕ།.txt
དང་ཡིད་ཀྱི་ལས་རྣམས་ཀྱི་,གོ་,མི་དབྱེའོ་ཞེས་གསུངས་,1485,ཤེར་ཕྱིན། ཕ།.txt
ཞེས་བྱ་བར་སེམས་བསྐྱེད་པའི་,གོ་,མི་འབྱེད་ཀྱིདེ་འདི་,3552,ཤེར་ཕྱིན། ག.txt
རྣམ་པར་སྤྲོས་པས་,གོ་,ཞིང་ཚིག་ལྷུར་ལེན་,3580,ཤེར་ཕྱིན། ང་།.txt
གནས་པའི་སྲོག་ཆགས་རྣམས་ལ་,གོ་,ཞེས་གདགས་ཏེདེས་ན་,907,ཤེར་ཕྱིན། ཀ.txt
ཡང་གཞན་དག་ན་རེ་,གོ་,ཞེས་བྱ་བ་ནི་,905,ཤེར་ཕྱིན། ཀ.txt
གཉིས་པ་དངོས་པོ་ཡིན་ན་,གོ་,འབྲས་བུ་དེ་ནི་,108,ཤེར་ཕྱིན། མ།.txt
ཡང་ན་ཕྱོགས་རྣམས་,གོ་,ཡིན་པའི་ཕྱིར་ཕྱོགས་,907,ཤེར་ཕྱིན། ཀ.txt
གྲངས་ངེས་མེད་དེ་,གོ་,རིམས་ཀྱང༌་,770,ཤེར་ཕྱིན། ཐ།.txt
སྨྲ་བ་ནི་མགོ་སྨོས་པས་,གོ་,ལཆོས་ཉན་པ་ནི་,3580,ཤེར་ཕྱིན། ང་།.txt
བྱེད་པ་མེད་པར་གྱུར་ན་,གོ་,ཤེས་བྱ་བསམ་གྱིས་,6136,ཤེར་ཕྱིན། ཆ།.txt
དེ་བས་ན་,གོ་,སྐྱོབ་པས་ན,729,ཤེར་ཕྱིན། ཁ།.txt
འདྲ་བར་ཤིན་དུ་མེད་ན་,གོ་,སྣང་བར་ཇི་ལྟར་,2920,ཤེར་ཕྱིན། མ།.txt
ལ་ཞུགས་པའི་གང་ཟག་ནི་,གོ་,སླ་བ་ཉིད་ཀྱིས་,610,ཤེར་ཕྱིན། ཆ།.txt
བློ་ཡིས་རྣམ་པར་གཞིགས་ན་,གོ་,,2936,ཤེར་ཕྱིན། མ།.txt
བདག་གི་ལྕེ་འདི་ཉིད་ཀྱིས་,གོ་,,1813,བསྟོད་ཚོགས། ཀ.txt
གལ་ཏེ་བླ་མར་འཚལ་ན་,གོ་,,2626,བསྟོད་ཚོགས། ཀ.txt
,,,,
དེ་ལ་ལན་,,ཅི་ཞིག་ལོན་,2867,བསྟོད་ཚོགས། ཀ.txt
གི་རྟོག་པ་རང་དབང་ཅན་,,ཅི་སྟེ་མི་འབྱུང༌,342,ཤེར་ཕྱིན། མ།.txt
ནས་ཉེ་བར་བཟུང་སྟེའདི་ལྟར་,,ཆ་གྱོན་ཏེབརྒྱ་ལ་,3507,ཤེར་ཕྱིན། ག.txt
དཔའ་དེ་དག་གི་དོན་དུ་,,ཆ་གྱོན་ཏོ་,2522,ཤེར་ཕྱིན། ཕ།.txt
