འབྱོར་འདི་ལྟ་སྟེ་དཔེར་ནམི་,ཞིག་,མུན་པར་ཞུགས་ཞེས་,2382,ཤེར་ཕྱིན། མ།.txt
གསུམ་,ཞིག་,ཏུ་འགྱུར་གྲང་ནརེ,2871,ཤེར་ཕྱིན། མ།.txt
པ་ཡན་ལག་ཅན་གྱི་གཟུགས་,ཞིག་,ཏུ་གྱུར་གྲང་ནརེ་,2992,ཤེར་ཕྱིན། མ།.txt
ཡང་འདུ་བྱེད་ཀྱི་ཆོས་རྣམས་,ཞིག་,པའི་མཚན་ཉིད་དོ་,1023,ཤེར་ཕྱིན། ཕ།.txt
ཆོས་གཞན་,ཞིག་,ཏུ་གྱུར་པ,1551,ཤེར་ཕྱིན། ཕ།.txt
བས་རྟོགས་པར་བྱ་བའི་ཕྱིརམི་,ཞིག་,ཅེས་བྱ་བ་ལ་,783,ཤེར་ཕྱིན། ཇ།.txt
དཔེས་གསལ་བར་བྱ་བའི་ཕྱིརམི་,ཞིག་,ཅེས་བྱ་བ་ལ་,1316,ཤེར་ཕྱིན། ཇ།.txt
ཏེ་རང་གི་ལུས་བདག་ཉིད་,ཞིག་,པར་གྱུར་ཀྱང་དེ་,1480,ཤེར་ཕྱིན། ཇ།.txt
ཕྱིརསྣོད་སོ་མ་བཏང་ཆུས་རེག་,ཞིག་,པ་བཞིན་ཏེངེས་པར་,336,ཤེར་ཕྱིན། ཉ།.txt
བ་བར་ཆད་མེད་པའི་ཕྱིརམི་,ཞིག་,ཅེས་བྱ་བ་ལ་,1196,ཤེར་ཕྱིན། ཉ།.txt
,,,,
བ་གཅིག་གིས་ཐོགས་པ་ཡིནརེ་,,བཞི་པ་ནི་མ་,342,ཤེར་ཕྱིན། ཀ.txt
བརྒྱད་ནི་འདི་དག་ཡིན་ཏེརེ་,,མཐོང་བའི་ལམ་གྱི་,1393,ཤེར་ཕྱིན། ཀ.txt
དག་པ་བརྗོད་པར་བྱ་སྟེརེ་,,འདིའི་རྒྱུ་ནི་རྣམ་,1972,ཤེར་ཕྱིན། ཀ.txt
པའི་མཐའ་ཞེས་བྱ་བ་ནསརེ་,,རྣམ་པ་ཐམས་ཅད་,2751,ཤེར་ཕྱིན། ཀ.txt
ཇི་ལྟར་ཞེ་ནརེ་,,དབང་པོ་འགོག་པ་,2922,ཤེར་ཕྱིན། ཀ.txt
ལམ་གྱི་རྣམ་པ་དགུ་ནིཅི་,,འཐོབ་ཅེས་བྱ་བ་,3055,ཤེར་ཕྱིན། ཀ.txt
ཕྱི་མ་དང་སྦྱར་བ་སྟེརེ་,,རིགས་ཀྱི་རྣམ་པར་,3348,ཤེར་ཕྱིན། ཀ.txt
ཚིག་སྔ་མ་དང་སྦྱར་ཏེརེ་,,ཡང་དག་པར་རྟོགས་,3350,ཤེར་ཕྱིན། ཀ.txt
པ་བཞི་བརྗོད་པར་བྱ་སྟེརེ་,,སྒོམ་པའི་ལམ་བརྗོད་,3405,ཤེར་ཕྱིན། ཀ.txt
ཅད་སྡུད་པ་ཡིན་ཞེ་ནརེ་,,དོན་འདི་ལ་འཇིག་,3684,ཤེར་ཕྱིན། ཀ.txt
པའི་སྣོད་ཡིནགང་,,ལ་ཅི,3895,ཤེར་ཕྱིན། ཀ.txt
ཁྱད་པར་གང་ཡིན་ཞེ་ནརེ་,,རྣམ་པ་ཐམས་ཅད་,4156,ཤེར་ཕྱིན། ཀ.txt
པར་གང་གིས་གཞག་པར་བྱརེ་,,དེ་བཞིན་གཤེགས་པ་,355,ཤེར་ཕྱིན། མ།.txt
བསྣན་པའི་དོན་གང་ཞེ་ནརེ་,,ཆོས་ཅན་དེ་ཉིད་,395,ཤེར་ཕྱིན། མ།.txt
ཤེས་པ་དེའི་ངོ་བོར་འགྱུརརེ་,,འཕྲོས་པ་བཞག་སྟེ་,459,ཤེར་ཕྱིན། མ།.txt
འདིའི་དོན་ནི་འདི་ཡིན་ཏེརེ་,,རྣམ་པར་རྟོག་པ་,480,ཤེར་ཕྱིན། མ།.txt
པ་དེ་ལྟ་བུ་ཡིན་ནརེ་,,འདི་ལ་བྱང་ཆུབ་,849,ཤེར་ཕྱིན། མ།.txt
དེ་ཇི་ལྟར་བསྟན་པར་འགྱུརརེ་,,བསྟན་པ་ཡང་ཡོད་,1426,ཤེར་ཕྱིན། མ།.txt
མ་ཡིན་དུ་ཟིན་ཀྱང༌རེ་,,དོན་སྟོན་པར་བྱེད་,1647,ཤེར་ཕྱིན། མ།.txt
ཡང་གང་གསུངས་པ་ཡིན་ཏེསུ་,,སངས་རྒྱས་ཀྱི་ཆོས་,2313,ཤེར་ཕྱིན། མ།.txt
འདིས་ཅི་བསྟན་ཞེ་ནརེ་,,ལུས་ཡོངས་སུ་བཏང་,2349,ཤེར་ཕྱིན། མ།.txt
གཉེན་པོ་ཡོངས་སུ་སྟོན་ཏེསུ་,,ལོངས་སྤྱོད་ཀྱི་དོན་,2382,ཤེར་ཕྱིན། མ།.txt
ཕྱོགས་གསུམ་དུ་འགྱུར་གྲང་ནརེ་,,ཕྱོགས་དང་པོ་ནི་,2816,ཤེར་ཕྱིན། མ།.txt
གཅིག་འདྲ་བར་འགྱུར་གྲང་ནརེ་,,བདག་ཉིད་ཐམས་ཅད་,2876,ཤེར་ཕྱིན། མ།.txt
ཉེ་བར་རྟོག་པ་བཞི་སྟེརེ་,,དེ་ལ་སྡུག་བསྔལ་,3022,བསྟོད་ཚོགས། ཀ.txt
ནདེ་ལ་བརྗོད་པར་བྱ་སྟེརེ་,,འབྲེལ་པ་ནི་དགོས་,50,ཤེར་ཕྱིན། ཆ།.txt
པ་ཡོད་པ་མ་ཡིན་པསཅི་,,ལྟར་བར་དུ་ཡུལ་,109,ཤེར་ཕྱིན། ཆ།.txt
བ་ལ་སོགས་པ་གསུངས་ཏེཅི་,,ཅེས་བྱ་བའི་སྒྲ་,1732,ཤེར་ཕྱིན། ཆ།.txt
སྙམ་པའི་དོགས་པ་བསུ་ནསརེ་,,ཁྱད་པར་དུ་འཕགས་,2232,ཤེར་ཕྱིན། ཆ།.txt
དེ་ཡོངས་སུ་སྟོན་པ་ལསརེ་,,ཐམས་ཅད་ཤེས་པ་,4695,ཤེར་ཕྱིན། ཆ།.txt
སོགས་པ་གསོལ་པ་ཡིན་ཏེརེ་,,བསམ་གྱིས་མི་ཁྱབ་,5555,ཤེར་ཕྱིན། ཆ།.txt
ཞེ་ན་ཞེས་རྟོག་པ་ལརེ་,,བསམ་གྱིས་མི་ཁྱབ་,5573,ཤེར་ཕྱིན། ཆ།.txt
པ་གཅིག་ཁོ་ནར་འགྱུར་ཏེརེ་,,གནས་བརྟན་ཚེ་དང་,6269,ཤེར་ཕྱིན། ཆ།.txt
རྣམ་པ་གསུམ་དུ་འཇུག་སྟེཅི་,,བྱའོ་སྙམ་ནས་གོ་,2036,ཤེར་ཕྱིན། ཕ།.txt
བྱ་བ་ལྟ་བུ་དང༌ཅི་,,མེད་པར་བྱའོ་སྙམ་,2036,ཤེར་ཕྱིན། ཕ།.txt
