སྐུ་,ཡི་,ཁོ་ལག་ཡངས་ཤིང་,4015,ཤེར་ཕྱིན། ཀ.txt
སྐྱེད་པར་མི་བགྱིད་པ་ཞེས་,ཡི་,གེ་ཁ་ཅིག་ལས་,1568,ཤེར་ཕྱིན། མ།.txt
ཡོངས་སུ་,ཡི་,ཆད་པར་མི་འགྱུརཉམས་,3856,ཤེར་ཕྱིན། ག.txt
ཅིང་ཞེས་བྱ་བ་ནི་ང་,ཡི་,ཉིད་ཀྱིས་བདག་གིར་,2950,ཤེར་ཕྱིན། ཆ།.txt
ཕྲིན་ལས་དང༌དེ་བཞིན་དུ་,ཡི་,དགས་ཀྱི་ཡུལ་གྱི་,4091,ཤེར་ཕྱིན། ཀ.txt
པ་ཀློག་པ་ལ་སོགས་པར་,ཡི་,དམ་བཅས་པ་ལས་,4984,ཤེར་ཕྱིན། ཆ།.txt
ཆུབ་ཏུ་སེམས་བསྐྱེད་ལདེ་ནས་,ཡི་,དམ་བླངས་པ་སྟེཡོངས་,1986,ཤེར་ཕྱིན། ཕ།.txt
སྨིན་པ་ལ་སོགས་པ་ནི་,ཡི་,དྭགས་ཀྱི་འགྲོ་བ་,1681,ཤེར་ཕྱིན། ཉ།.txt
དེ་སླད་དེ་,ཡི་,མི་མཐུན་པ་,2477,བསྟོད་ཚོགས། ཀ.txt
སྐལ་ཉེས་པ་,ཡི་,ཚ་བས་དེ་ཡང་,1457,བསྟོད་ཚོགས། ཀ.txt
དེ་དག་ལ་ཡང་རྗེས་སུ་,ཡི་,རང་ངོ་,1467,ཤེར་ཕྱིན། ཁ།.txt
དགེ་བའི་རྩ་ལ་,ཡི་,རང་བ་,1949,ཤེར་ཕྱིན། ཀ.txt
པ་ལ་བསམ་པ་ཐག་པས་,ཡི་,རང་བ་དེའི་ཚེ་,1367,ཤེར་ཕྱིན། ཇ།.txt
བྱས་པ་ལ་ཡང་,ཡི་,རང་བས་,469,ཤེར་ཕྱིན། ཐ།.txt
ཕུང་པོ་ཇི་སྙེད་པ་ལའང་,ཡི་,རང་འགྱུརདེའི་ཕྱིར་དེ་,1372,ཤེར་ཕྱིན། ཇ།.txt
དག་ལེགས་སོ་ཞེས་རྗེས་སུ་,ཡི་,རངས་ནས་དེ་ཉིད་,3291,ཤེར་ཕྱིན། ཕ།.txt
ནམས་བྱ་བའི་དངོས་པོ་ལ་,ཡི་,རངས་ནས་སེམས་ཅན་,1613,ཤེར་ཕྱིན། ཇ།.txt
,,,,
རྗེས་སུ་,,རང་ངོ་བོ་ནི་,463,ཤེར་ཕྱིན། ཐ།.txt
གཤེགས་པ་རྣམས་ཀྱང་རྗེས་སུ་,,རང་ངོ་ཞེས་བྱ་,4239,ཤེར་ཕྱིན། མ།.txt
ན་དེ་ལ་བདག་རྗེས་སུ་,,རང་ངོ་ཞེས་བྱ་,1923,ཤེར་ཕྱིན། ཆ།.txt
དེ་དག་ལ་ཡང་རྗེས་སུ་,,རང་ངོ་ཞེས་བྱ་,3232,ཤེར་ཕྱིན། ཕ།.txt
བཞིན་དུ་བདག་ཀྱང་རྗེས་སུ་,,རང་ངོ་ཞེས་བྱ་,3559,ཤེར་ཕྱིན། ཕ།.txt
སྨྲ་བ་པོ་,,རང་དགའ་དང༌་,2096,བསྟོད་ཚོགས། ཀ.txt
བསྔོ་བ་རྗེས་སུ་,,རང་དང་,728,ཤེར་ཕྱིན། ཇ།.txt
སངས་རྒྱས་རྗེས་སུ་,,རང་དང༌་,1910,ཤེར་ཕྱིན། ཀ.txt
སངས་རྒྱས་རྗེས་སུ་,,རང་དང༌་,2281,ཤེར་ཕྱིན། ཇ།.txt
བསྔོ་དང་རྗེས་སུ་,,རང་དང༌་,63,ཤེར་ཕྱིན། ཁ།.txt
སངས་རྒྱས་རྗེས་སུ་,,རང་དང༌ཁམས་གསུམ་,4010,ཤེར་ཕྱིན། ཆ།.txt
སེམས་བསྐྱེད་པ་ལ་རྗེས་སུ་,,རང་ན་ཐར་པ་,1291,ཤེར་ཕྱིན། ཉ།.txt
དག་ཐམས་ཅད་ལ་རྗེས་སུ་,,རང་ན་བླ་ན་,3024,ཤེར་ཕྱིན། ཀ.txt
རྗེས་སུ་,,རང་ནབཅོམ་ལྡན་འདས་,2097,ཤེར་ཕྱིན། ང་།.txt
ཡི་རང་སྟེརྗེས་སུ་,,རང་ནས་ཀྱང་རྗེས་,1972,ཤེར་ཕྱིན། ང་།.txt
བ་ཐམས་ཅད་ལ་རྗེས་སུ་,,རང་ནས་བྱང་ཆུབ་,3542,ཤེར་ཕྱིན། ཕ།.txt
སུ་,,རང་ནས་བླ་ན་,2097,ཤེར་ཕྱིན། ང་།.txt
དག་ཐམས་ཅད་ལ་རྗེས་སུ་,,རང་ནས་བླ་ན་,2963,ཤེར་ཕྱིན། ཁ།.txt
ཐམས་ཅད་ལ་རྗེས་སུ་སུ་,,རང་ནས་བླ་ན་,40,ཤེར་ཕྱིན། ཅ།.txt
བ་དེ་དག་ལ་རྗེས་སུ་,,རང་ནས་བླ་ན་,825,ཤེར་ཕྱིན། ཅ།.txt
དེ་ལྟར་རྗེས་སུ་,,རང་ནས་ཞེས་བྱ་,3845,ཤེར་ཕྱིན། ཆ།.txt
བས་ན་དེ་ལ་རྗེས་སུ་,,རང་ནས་འགྲོ་བ་,1292,ཤེར་ཕྱིན། ཉ།.txt
པ་དེ་དག་ལ་རྗེས་སུ་,,རང་ནས་ཡོངས་སུ་,3540,ཤེར་ཕྱིན། ཕ།.txt
གཞན་ཡང་དེ་ལྟར་རྗེས་སུ་,,རང་ནས་རྗེས་སུ་,3856,ཤེར་ཕྱིན། ཆ།.txt
ཞེས་དེའི་ཚིག་ལ་རྗེས་སུ་,,རང་ནསགཉིས་ཀྱི་ཚུལ་,4840,ཤེར་ཕྱིན། ཕ།.txt
གྱིས་ཚིག་དེ་ལ་རྗེས་སུ་,,རང་ནསདོན་དམ་པའི་,3370,ཤེར་ཕྱིན། ཕ།.txt
བ་དེ་དག་ལ་རྗེས་སུ་,,རང་ནསབླ་ན་མེད་,824,ཤེར་ཕྱིན། ཅ།.txt
བསྔོ་དང་རྗེས་སུ་,,རང་བ་,63,ཤེར་ཕྱིན། ཀ.txt
པ་དང༌བསྔོ་དང་རྗེས་སུ་,,རང་བ་,2044,ཤེར་ཕྱིན། ཀ.txt
བསྔོ་དང་རྗེས་སུ་,,རང་བ་,305,ཤེར་ཕྱིན། ཆ།.txt
དགེ་བའི་རྩ་ལ་,,རང་བ་,2288,ཤེར་ཕྱིན། ཇ།.txt
དགེ་བའི་རྩ་ལ་,,རང་བ་,1818,ཤེར་ཕྱིན། ཁ།.txt
བསྔོ་དང་རྗེས་སུ་,,རང་བ་,457,ཤེར་ཕྱིན། ཉ།.txt
བ་ནི་རྗེས་སུ་,,རང་བ་གཅིག་པའོ་,3559,ཤེར་ཕྱིན། ཕ།.txt
དེ་མ་ཡིན་པའི་རྗེས་སུ་,,རང་བ་གཞན་ཐམས་,2098,ཤེར་ཕྱིན། ང་།.txt
དེ་མ་ཡིན་པའི་རྗེས་སུ་,,རང་བ་གཞན་ཡང་,2098,ཤེར་ཕྱིན། ང་།.txt
སུ་,,རང་བ་གོང་ན་,1973,ཤེར་ཕྱིན། ང་།.txt
འགྱུརརྗེས་སུ་,,རང་བ་གོང་ན་,2097,ཤེར་ཕྱིན། ང་།.txt
རབ་ཏུ་འགྱུར་བརྗེས་སུ་,,རང་བ་གོང་ན་,2097,ཤེར་ཕྱིན། ང་།.txt
བས་ན་དམ་བཅའས་པ་ལ་,,རང་བ་ཐོབ་པའི་,5068,ཤེར་ཕྱིན། ཆ།.txt
བཅས་པའི་ཚིག་ལ་རྗེས་སུ་,,རང་བ་དང༌ཆོས་,2509,ཤེར་ཕྱིན། ཇ།.txt
ནི་མོས་པ་དང་རྗེས་སུ་,,རང་བ་དང་བསྔོ་,547,ཤེར་ཕྱིན། ཉ།.txt
བའི་རྩ་བ་དང༌རྗེས་སུ་,,རང་བ་དང༌བསོད་,3521,ཤེར་ཕྱིན། ཕ།.txt
ཅིག་མ་གཅིག་ལ་རྗེས་སུ་,,རང་བ་དང་ཡོངས་,3843,ཤེར་ཕྱིན། ཆ།.txt
རྒྱན་གྱི་སྣང་བ་ལསརྗེས་སུ་,,རང་བ་དང་ཡོངས་,4050,ཤེར་ཕྱིན། ཆ།.txt
རྗེས་སུ་,,རང་བ་དང་ཡོངས་,3509,ཤེར་ཕྱིན། ཕ།.txt
པ་ལ་ཞུགས་པའི་རྗེས་སུ་,,རང་བ་དང༌ཡོངས་,3517,ཤེར་ཕྱིན། ཕ།.txt
གསར་དུ་ཞུགས་པའི་རྗེས་སུ་,,རང་བ་དང༌ཡོངས་,3533,ཤེར་ཕྱིན། ཕ།.txt
ལ་སོགས་པ་ལ་རྗེས་སུ་,,རང་བ་དང༌ཡོངས་,3568,ཤེར་ཕྱིན། ཕ།.txt
ལ་སོགས་པ་དང༌རྗེས་སུ་,,རང་བ་དང༌ཡོངས་,4552,ཤེར་ཕྱིན། ཕ།.txt
བུ་མོ་གང་གིས་རྗེས་སུ་,,རང་བ་དང༌ཡོངས་,2097,ཤེར་ཕྱིན། ང་།.txt
གཅིག་ཏུ་བསྡུས་ཏེ་རྗེས་སུ་,,རང་བ་དང༌ཡོངས་,1792,ཤེར་ཕྱིན། ཁ།.txt
མཁྱེན་པ་དེ་ལྟར་རྗེས་སུ་,,རང་བ་དང་ཡོངས་,654,ཤེར་ཕྱིན། ཉ།.txt
