དང༌ཚོགས་སྤྱོད་པ་དང༌བསེ་,,ལྟ་བུའི་རང་སངས་,491,ཤེར་ཕྱིན། མ།.txt
རྒྱ་གར་སྐད་དུནི་,,པ་མ་སྟ་བཾབོད་,484,བསྟོད་ཚོགས། ཀ.txt
མཉྫུ་ཤྲཱི་བྷཊྚཱ་ར་ཀ་ཀཱ་,,ཎ་སྟོ་ཏྲབོད་སྐད་,1433,བསྟོད་ཚོགས། ཀ.txt
ཀ་ཡི་བཱ་རཱ་ཎ་སཱི་,,,1514,བསྟོད་ཚོགས། ཀ.txt
ཚོགས་ན་སྤྱོད་པ་དང༌བསེ་,,ལྟ་བུ་འང་རང་,484,ཤེར་ཕྱིན། ཇ།.txt
ཌཱུརྱ་དང༌མན་ཤེལ་དང༌བྱི་,,དང༌ས་ལེ་སྦྲམ་,412,ཤེར་ཕྱིན། ག.txt
དང༌གསེར་དང༌དངུལ་དང༌བྱི་,,རྣམས་དང༌འཚོ་བའི་,1165,ཤེར་ཕྱིན། ག.txt
དུང་དང༌མེན་ཤེལ་དང༌བྱི་,,དང༌གསེར་དང༌དངུལ་,1567,ཤེར་ཕྱིན། ག.txt
དུང་དང༌མན་ཤེལ་དང༌བྱི་,,དང༌གསེར་དང་དངུལ་,3496,ཤེར་ཕྱིན། ག.txt
དུང་དང༌མན་ཤེལ་དང༌བྱི་,,དང༌དངུལ་ལ་སོགས་,3640,ཤེར་ཕྱིན། ང་།.txt
