root,root,,suffixes A,suffixes A,suffixes NB,suffixes NB,suffixes C,suffixes C,,rare C,rare C,,wasurs C,wasurs C,wazurs,wazurs
ཀ/A,k/A,,ག,ag,འ,av,འི,avi,,བྲའོ/C,bravo/C,,ཀྭ/C,kwa/C,ཀྭས,kwas
ཀྱ/A,ky/A,,གས,ags,ག,ag,འོ,avo,,སླེའོ/C,slevo/C,,ཀྭའི/C,kwavi/C,ཀྭན,kwan
ཀྲ/A,kr/A,,ང,ang,གས,ags,འང,avang,,ཀའུ/C,kavu/C,,ཁྭ/C,khwa/C,ཁྭངས,khwangs
ཀླ/A,kl/A,,ངས,angs,ང,ang,འམ,avam,,ཀིའུ/C,kivu/C,,གྭ/C,gwa/C,ཏྭོན,twon
དཀ/NB,dk/NB,,ད,ad,ངས,angs,ར,ar,,ཀེའུ/C,kevu/C,,གྲྭ/C,grwa/C,དྭངས,dwangs
དཀྱ/A,dky/A,,ན,an,ད,ad,ས,as,,ཀོའུ/C,kovu/C,,ཉྭ/C,nywa/C,དྭགས,dwags
དཀྲ/A,dkr/A,,བ,ab,ན,an,,,,ཀྲུའུ/C,kruvu/C,,སྟྭ/C,stwa/C,ཧྭག,hwag
དཀླ/A,dakl/A,,བས,abs,བ,ab,,,,ཁེའུ/C,khevu/C,,དྭ/C,dwa/C,ཧྭགས,hwags
བཀ/NB,bk/NB,,མ,am,བས,abs,,,,ཁྱིའུ/C,khyivu/C,,དྭོ/C,dwo/C,ཧྭང,hwang
བཀྱ/A,bky/A,,མས,ams,མ,am,,,,ཁྱེའུ/C,khyevu/C,,དྲྭ/C,drwa/C,,
བཀྲ/A,bkr/A,,ལ,al,མས,ams,,,,ཁྲིའུ/C,khrivu/C,,ཕྱྭ/C,phywa/C,,
བཀླ/A,bkl/A,,འི,avi,ལ,al,,,,ཁྲུའུ/C,khruvu/C,,རྩྭ/C,rtswa/C,,
རྐ/A,rk/A,,འོ,avo,འི,avi,,,,ཁྲེའུ/C,khrevu/C,,ཚྭ/C,tshwa/C,,
རྐྱ/A,rky/A,,འང,avang,འོ,avo,,,,གའུ/C,gavu/C,,ཞྭ/C,zhwa/C,,
ལྐ/A,lk/A,,འམ,avam,འང,avang,,,,གྲིའུ/C,grivu/C,,ཟྭ/C,zwa/C,,
སྐ/A,sk/A,,ར,ar,འམ,avam,,,,གྲེའུ/C,grevu/C,,རྭ/C,rwa/C,,
སྐྱ/A,sky/A,,ས,as,ར,ar,,,,གླེའུ/C,glevu/C,,ལྭ/C,lwa/C,,
སྐྲ/A,skr/A,,ི,i,ས,as,,,,འགིའུ/C,givu/C,,ཤྭ/C,shwa/C,,
བརྐ/A,brk/A,,ིག,ig,ི,i,,,,འགོའུ/C,govu/C,,སྭ/C,swa/C,,
བརྐྱ/A,brky/A,,ིགས,igs,ིག,ig,,,,རྒེའུ/C,rgevu/C,,བསྭ/C,bswa/C,,
བསྐ/A,bsk/A,,ིང,ing,ིགས,igs,,,,སྒའུ/C,sgavu/C,,བསྭོ/C,bswo/C,,
བསྐྱ/A,bsky/A,,ིངས,ings,ིང,ing,,,,སྒེའུ/C,sgevu/C,,ཧྭ/C,hwa/C,,
